,time_block,suicides,block_size
Connecticut,2001_2004,22,4
Delaware,2001_2004,6,4
Maine,2001_2004,1,4
Massachusetts,2001_2004,4,4
New Hampshire,2001_2004,7,4
New Jersey,2001_2004,10,4
New York,2001_2004,43,4
Pennsylvania,2001_2004,19,4
Rhode Island,2001_2004,7,4
Vermont,2001_2004,5,4
Illinois,2001_2004,32,4
Indiana,2001_2004,14,4
Iowa,2001_2004,10,4
Kansas,2001_2004,9,4
Michigan,2001_2004,26,4
Minnesota,2001_2004,7,4
Missouri,2001_2004,10,4
Nebraska,2001_2004,1,4
North Dakota,2001_2004,1,4
Ohio,2001_2004,24,4
South Dakota,2001_2004,5,4
Wisconsin,2001_2004,23,4
Alabama,2001_2004,4,4
Arkansas,2001_2004,11,4
Florida,2001_2004,19,4
Georgia,2001_2004,22,4
Kentucky,2001_2004,4,4
Louisiana,2001_2004,3,4
Maryland,2001_2004,19,4
Mississippi,2001_2004,8,4
North Carolina,2001_2004,12,4
Oklahoma,2001_2004,6,4
South Carolina,2001_2004,7,4
Tennessee,2001_2004,8,4
Texas,2001_2004,91,4
Virginia,2001_2004,15,4
West Virginia,2001_2004,3,4
Alaska,2001_2004,6,4
Arizona,2001_2004,16,4
California,2001_2004,114,4
Colorado,2001_2004,13,4
Hawaii,2001_2004,8,4
Idaho,2001_2004,8,4
Montana,2001_2004,5,4
Nevada,2001_2004,6,4
New Mexico,2001_2004,6,4
Oregon,2001_2004,10,4
Utah,2001_2004,11,4
Washington,2001_2004,11,4
Wyoming,2001_2004,2,4
Connecticut,2005_2009,20,5
Delaware,2005_2009,9,5
Maine,2005_2009,1,5
Massachusetts,2005_2009,21,5
New Hampshire,2005_2009,1,5
New Jersey,2005_2009,20,5
New York,2005_2009,64,5
Pennsylvania,2005_2009,41,5
Rhode Island,2005_2009,6,5
Vermont,2005_2009,0,5
Illinois,2005_2009,33,5
Indiana,2005_2009,25,5
Iowa,2005_2009,6,5
Kansas,2005_2009,3,5
Michigan,2005_2009,34,5
Minnesota,2005_2009,8,5
Missouri,2005_2009,26,5
Nebraska,2005_2009,2,5
North Dakota,2005_2009,0,5
Ohio,2005_2009,30,5
South Dakota,2005_2009,3,5
Wisconsin,2005_2009,26,5
Alabama,2005_2009,6,5
Arkansas,2005_2009,13,5
Florida,2005_2009,43,5
Georgia,2005_2009,30,5
Kentucky,2005_2009,7,5
Louisiana,2005_2009,12,5
Maryland,2005_2009,29,5
Mississippi,2005_2009,12,5
North Carolina,2005_2009,14,5
Oklahoma,2005_2009,26,5
South Carolina,2005_2009,13,5
Tennessee,2005_2009,20,5
Texas,2005_2009,133,5
Virginia,2005_2009,13,5
West Virginia,2005_2009,0,5
Alaska,2005_2009,7,5
Arizona,2005_2009,32,5
California,2005_2009,172,5
Colorado,2005_2009,17,5
Hawaii,2005_2009,7,5
