Bureau of Justice Statistics,,,,,,,,,,,
Filename: sljsfp0019stt11.csv,,,,,,,,,,,
"Table 11. Average rate of suicides per 100,000 prisoners in state and federal prisons, by state and region, 2001–19",,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19; Mortality in Correctional Institutions, 2001–19; and National Prisoner Statistics program, 2001–19",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 11. Average rate of suicides per 100,000 prisoners in state and federal prisons, by state and region, 2001–19",,,,,,,,,,,
,,2001–04,,2005–09,,2010–14,,2015–19,,2001–19,
,U.S. total,14,,15,,15,,21,,16,
Federal,,8,,9,,8,,13,,9,
State total,,15,,16,,16,,22,,18,
Northeast,,18,,20,,23,,26,,22,
,Connecticut,30,,21,,21,,28,,25,
,Delaware,22, !,26, !,30, !,27, !,27,
,Maine,13, !,10, !,10, !,9, !,10, !
,Massachusetts,10, !,39,,40,,32,,32,
,New Hampshire,72, !,7, !,23, !,8, !,24,
,New Jersey,10, !,16,,14,,7, !,12,
,New York,16,,21,,26,,29,,23,
,Pennsylvania,12,,18,,17,,28,,19,
,Rhode Island,52, !,33, !,51, !,44, !,44, !
,Vermont,80, !,0,,20, !,49, !,31, !
Midwest,,17,,15,,15,,18,,16,
,Illinois,18,,15,,15,,17,,16,
,Indiana,17,,20,,13,,22,,18,
,Iowa,30, !,14, !,20, !,20, !,20,
,Kansas,25, !,7, !,13, !,27,,18,
,Michigan,13,,14,,22,,13,,16,
,Minnesota,24, !,18, !,15, !,11, !,16,
,Missouri,8, !,17,,10,,13,,12,
,Nebraska,6, !,9, !,41, !,27, !,23,
,North Dakota,23, !,0,,0,,36, !,15, !
,Ohio,13,,12,,14,,18,,14,
,South Dakota,42, !,18, !,28, !,21, !,26,
,Wisconsin,27,,23,,10,,24,,21,
South,,11,,13,,12,,24,,15,
,Alabama,4, !,5, !,7, !,23,,10,
,Arkansas,23,,20,,11,,39,,24,
,Florida,6,,9,,8,,20,,11,
,Georgia,11,,11,,8,,31,,15,
,Kentucky,8,,9,,9,,13,,10,
,Louisiana,4,,12,,12,,20,,12,
,Maryland,20,,26,,14,,18,,20,
,Mississippi,13, !,14,,13, !,41,,20,
,North Carolina,9,,7,,6,,17,,10,
,Oklahoma,7, !,22,,24,,22,,20,
,South Carolina,8, !,11,,18,,40,,19,
,Tennessee,11, !,21,,14,,34,,21,
,Texas,15,,17,,17,,23,,18,
,Virginia,12,,8,,9,,15,,11,
,West Virginia,20, !,0,,7, !,20, !,12,
West,,19,,19,,22,,23,,21,
,Alaska,33, !,27, !,31, !,61,,38,
,Arizona,13,,17,,20,,17,,17,
,California,18,,20,,23,,23,,21,
,Colorado,17,,15,,22,,26,,20,
,Hawaii,38, !,26, !,26, !,23, !,28,
,Idaho,36, !,20, !,30,,34,,30,
,Montana,44, !,27, !,32, !,29, !,32,
,Nevada,14, !,17,,18,,18,,17,
,New Mexico,25, !,28, !,18, !,23, !,23,
,Oregon,21, !,16,,13, !,10, !,14,
,Utah,62,,39, !,37, !,41, !,43,
,Washington,17,,9, !,14,,19,,15,
,Wyoming,31, !,11, !,18, !,33, !,23, !
"Note: For details on regions, see U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf. Rates are based on the annual number of suicides and the December 31 custody population in state or federal prisons. State rates include deaths and populations in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Federal rates include deaths and populations in Federal Bureau of Prisons (BOP) facilities and exclude deaths and populations in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19; Mortality in Correctional Institutions, 2001–19; and National Prisoner Statistics program, 2001–19.",,,,,,,,,,,
