Bureau of Justice Statistics,,,,,,,,,,,
Filename: sljsfp0019stt12.csv,,,,,,,,,,,
"Table 12. Percent of suicides in state prisons, by demographic characteristics of prisoners, 2001–19",,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 12. Percent of suicides in state prisons, by demographic characteristics of prisoners, 2001–19",,,,,,,,,,,
Prisoner characteristic,,2001–04,,2005–09,,2010–14,,2015–19,,2001–19,
,Total suicides,734,,"1,046",,"1,046",,"1,357",,"4,183",
Sex,,100,%,100,%,100,%,100,%,100,%
,Male,94.7,,95.5,,93.8,,95.1,,94.8,
,Female,5.3,,4.5,,6.2,,4.9,,5.2,
Race/ethnicity,,100,%,100,%,100,%,100,%,100,%
,White/a,57.4,,59.3,,60.1,,57,,58.4,
,Black/a,23.2,,19.5,,18.7,,23.7,,21.3,
,Hispanic,15,,17.6,,15.6,,14.7,,15.7,
,American Indian/Alaska Native/a,1.2,,1.1,,2.3,,1.8,,1.7,
,Asian/Native Hawaiian/Other Pacific Islander/a,2.2,,1.9,,2.6,,1.9,,2.1,
,"Other/a,b",0.7,,0.3,,0.2,,0.4,,0.4,
Age,,100,%,100,%,100,%,100,%,100,%
,24 or younger,16.9,,13.6,,11.1,,10.5,,12.5,
,25–34,35.6,,31.7,,31.1,,31,,32,
,35–44,29,,29.9,,25.9,,29.7,,28.7,
,45–54,13.8,,18.4,,21.5,,17.5,,18.1,
,55 or older,4.8,,6.4,,10.4,,11.2,,8.7,
"Note: Includes deaths in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding and missing data. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,
b/Includes persons of two or more races or other unspecified races.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19. ",,,,,,,,,,,
