Bureau of Justice Statistics,,,,,,,,,,,
Filename: sljsfp0019stt13.csv,,,,,,,,,,,
"Table 13. Average rate of suicides per 100,000 prisoners in state prisons, by demographic characteristics of prisoners, 2001–19",,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19; and National Prisoner Statistics program, 2001–19",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 13. Average rate of suicides per 100,000 prisoners in state prisons, by demographic characteristics of prisoners, 2001–19",,,,,,,,,,,
Prisoner characteristic,,2001–04,,2005–09,,2010–14,,2015–19,,2001–19,
,Total,15,,16,,16,,22,,18,
Sex,,,,,,,,,,,
,Male,15,,16,,16,,23,,18,
,Female,12,,10,,15,,15,,13,
Race/ethnicity,,,,,,,,,,,
,White/a,25,,28,,30,,41,,31,
,Black/a,8,,8,,9,,16,,10,
,Hispanic,12,,15,,13,,15,,14,
,American Indian/Alaska Native/a,11, !,11,,28,,29,,19,
,Asian/Native Hawaiian/Other Pacific Islander/a,33,,32,,40,,36,,35,
,"Other/a,b",3, !,1, !,<0.5, !,1, !,1, !
Age,,,,,,,,,,,
,24 or younger,14,,14,,13,,23,,15,
,25–34,16,,7,,15,,21,,17,
,35–44,15,,18,,17,,25,,18,
,45–54,15,,27,,19,,22,,18,
,55 or older,16,,48,,19,,20,,19,
"Note: Rates are based on the annual number of suicides and the December 31 custody population in state prisons. Includes deaths and populations in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases.,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,
b/Includes persons of two or more races or other unspecified races.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19; and National Prisoner Statistics program, 2001–19. ",,,,,,,,,,,
