Bureau of Justice Statistics,,,,,,,,,,,,
Filename: sljsfp0019stt14.csv,,,,,,,,,,,,
"Table 14. Percent of suicides in state prisons, by criminal justice characteristics of prisoners, 2001–19",,,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 14. Percent of suicides in state prisons, by criminal justice characteristics of prisoners, 2001–19",,,,,,,,,,,,
Prisoner characteristic,,,2001–04,,2005–09,,2010–14,,2015–19,,2001–19,
,Total suicides,,734,,"1,046",,"1,046",,"1,357",,"4,183",
Most serious offense/a,,,100,%,100,%,100,%,100,%,100,%
,Violent,,69.1,,71.4,,74.3,,71.9,,71.9,
,,Murder/b,26.3,,29.3,,32.9,,29,,29.6,
,,Kidnapping,3.5,,2.7,,3,,3.7,,3.2,
,,Rape/sexual assault,15,,14.9,,14.3,,13.5,,14.3,
,,Robbery,11,,9.8,,11.5,,11.9,,11.1,
,,Assault,11.2,,13.1,,11.5,,12.2,,12.1,
,,Other,2,,1.7,,1.2,,1.6,,1.6,
,Property,,16.9,,14.5,,15,,14.1,,14.9,
,,Burglary,9.1,,8,,7.9,,7.7,,8.1,
,,Larceny/theft,3.4,,2.5,,3.4,,3.8,,3.3,
,,Motor vehicle theft,1.2,,1,,0.8,,0.7,,0.9,
,,Arson,0.8,,1.4,,1.4,,1,,1.2,
,,Fraud,2.3,,1.6,,1.5,,1,,1.5,
,Drugs,,8.5,,5.8,,4.3,,4.4,,5.4,
,,Possession,2.7,,2.6,,2.2,,2.1,,2.3,
,,Trafficking,4.8,,2.4,,1.4,,2,,2.4,
,,Other/unknown,1,,0.9,,0.7,,0.3,,0.7,
,Public order,,4,,5.9,,4.7,,7.7,,5.9,
,,Weapons offense,1.2,,1.4,,1.7,,2.1,,1.7,
,,Obstruction of justice,0.7,,0.8,,0.7,,1.6,,1,
,,DUI/DWI,0.7,,1.2,,0.7,,1,,0.9,
,,Traffic offense excluding DUI/DWI,0.4,,0.2,,0.1,,0.2,,0.2,
,,Probation/parole violation and escape,0.4,,1.4,,0.6,,1,,0.9,
,,Other,0.5,,1,,1,,1.8,,1.2,
,Other offenses/unknown,,1.6,,2.3,,1.7,,2,,1.9,
Time served in prison on current sentence,,,100,%,100,%,100,%,100,%,100,%
,1 week or less,,4.1,,3.6,,2.9,,3.2,,3.4,
,1.1 weeks–1 month,,4.2,,4.8,,4.8,,3.7,,4.3,
,1.1–6 months,,16.4,,13.6,,11.7,,10.8,,12.7,
,6.1 months–1 year,,12.5,,10.7,,8.6,,7,,9.3,
,1.1–5 years,,31.6,,29.3,,30.4,,32,,30.8,
,5.1–10 years,,17.7,,18.3,,17.1,,18.3,,17.9,
,10.1 years or more,,13.2,,19.5,,24.2,,24.6,,21.2,
"Note: Includes deaths in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,,
"a/For prisoners convicted of more than one crime, the most serious offense is the one that carries the longest sentence.",,,,,,,,,,,,
b/Includes nonnegligent manslaughter.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19. ",,,,,,,,,,,,
