Bureau of Justice Statistics,,,,,,,,,,,
Filename: sljsfp0019stt15.csv,,,,,,,,,,,
"Table 15. Percent of suicides in state prisons, by circumstances of death, 2001–19",,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 15. Percent of suicides in state prisons, by circumstances of death, 2001–19",,,,,,,,,,,
Circumstance of death,,2001–04,,2005–09,,2010–14,,2015–19,,2001–19,
,Total suicides,734,,"1,046",,"1,046",,"1,357",,"4,183",
Time of death,,100,%,100,%,100,%,100,%,100,%
,Morning (6 a.m.–12 p.m.),19.6,,22.8,,24.4,,24.8,,23.3,
,Afternoon (12 p.m.–6 p.m.),27.1,,27.9,,28,,29.6,,28.4,
,Evening (6 p.m.–12 a.m.),24.5,,25.3,,25.1,,25.9,,25.3,
,Overnight (12 a.m.–6 a.m.),23.2,,20.6,,20.9,,18.3,,20.4,
Method of suicide,,/,,/,,100,%,100,%,100,%
,Suffocation/a,/,,/,,86.4,,88.2,,87.4,
,Exsanguination/b,/,,/,,3.6,,3.9,,3.8,
,Poisoning/c,/,,/,,4.6,,3.5,,4,
,Firearm,/,,/,,0.2,,0,,0.1,
,Other/d,/,,/,,4.9,,4,,4.4,
Location of suicide event/e,,100,%,100,%,100,%,100,%,100,%
,Prisoner's cell/room,78.6,,79.9,,74.8,,75.7,,75.3,
,Special medical/mental health services unit,/,,/,,5.9,,4.4,,5.1,
,Segregation unit/f,/,,/,,9.4,,10.8,,10.2,
,Elsewhere within prison facility/g,7.1,,6.4,,5.2,,6.8,,6.1,
,Outside of prison facility/h,1.9,,1.9,,1.6,,0.2,,0.8,
,Other/i,4.5,,3.1,,0.8,,0.7,,0.7,
Prisoner had an overnight stay in a mental health facility after prison admission,,/,,/,,100,%,100,%,100,%
,Yes,/,,/,,18.6,,12.4,,15.1,
,No,/,,/,,47.1,,54.6,,51.4,
,Unknown,/,,/,,30.6,,32.4,,31.6,
"Note: Includes deaths in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. The 2001–19 category reflects 2010–19 percentages because data were first collected in 2010. See Methodology.",,,,,,,,,,,
/Not collected.,,,,,,,,,,,
"a/Includes hanging, strangulation, asphyxia, anoxia, and other methods of reducing oxygen intake.",,,,,,,,,,,
b/Includes all types of sharp force trauma or other injuries that cause acute loss of blood.,,,,,,,,,,,
c/Includes drug overdoses and ingestion or use of other poisonous substances.,,,,,,,,,,,
"d/Includes self-inflicted blunt force trauma, dehydration, and unknown or unreported causes.",,,,,,,,,,,
e/Location where prisoner attempted to commit suicide. May not reflect actual location of death.,,,,,,,,,,,
f/Includes prisoners on death row.,,,,,,,,,,,
"g/Includes temporary holding areas or lockups and common areas within the facility, such as prison yards, cafeterias, or kitchens.",,,,,,,,,,,
h/Includes community medical or mental health facilities not associated with the prison.,,,,,,,,,,,
i/Includes deaths that occurred while in transit to an external medical or mental health center.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–19. ",,,,,,,,,,,
