Bureau of Justice Statistics,,,
Filename: sljsfp0019stt16.csv,,,
"Table 16. Percent of suicides in federal prisons, by demographic characteristics of prisoners, 2015–19",,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,
"Data source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 10/7/2021,,,
,,,
"Table 16. Percent of suicides in federal prisons, by demographic characteristics of prisoners, 2015–19",,,
Prisoner characteristic,,2015–19,
,Total suicides,120,
Sex,,100,%
,Male,98.3,
,Female,1.7,
Race/ethnicity,,100,%
,White/a,59.2,
,Black/a,17.5,
,Hispanic,11.7,
,American Indian/Alaska Native/a,9.2,
,Asian/Native Hawaiian/Other Pacific Islander/a,2.5,
,"Other/a,b",0,
Age,,100,%
,24 or younger,2.5,
,25–34,20,
,35–44,35.8,
,45–54,25.8,
,55 or older,15.8,
"Note: Includes deaths in Federal Bureau of Prisons (BOP) facilities and excludes deaths in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,
b/Includes persons of two or more races or other unspecified races.,,,
"Source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19.",,,
