Bureau of Justice Statistics,,,
Filename: sljsfp0019stt17.csv,,,
"Table 17. Average rate of suicides per 100,000 prisoners in federal prisons, by demographic characteristics of prisoners, 2015–19",,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,
"Data source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19; and National Prisoner Statistics program, 2015–19",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 10/7/2021,,,
,,,
"Table 17. Average rate of suicides per 100,000 prisoners in federal prisons, by demographic characteristics of prisoners, 2015–19",,,
Prisoner characteristic,,2015–19,
,Total,16,
Sex,,,
,Male,17,
,Female,4,
Race/ethnicity,,,
,White/a,43,
,Black/a,9,
,Hispanic,5,
,American Indian/Alaska Native/a,77,
,Asian/Native Hawaiian/Other Pacific Islander/a,26, !
,"Other/a,b",0,
Age,,,
,24 or younger,9, !
,25–34,11,
,35–44,16,
,45–54,19,
,55 or older,21,
"Note: Rates are based on the annual number of suicides and the December 31 custody population in federal prisons. Includes deaths and populations in Federal Bureau of Prisons (BOP) facilities and excludes deaths and populations in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Data may have been revised from previously published statistics. See Methodology.",,,
! Interpret with caution. Estimate is based on 10 or fewer cases.,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,
b/Includes persons of two or more races or other unspecified races.,,,
"Source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19; and National Prisoner Statistics program, 2015–19.",,,
