Bureau of Justice Statistics,,,
Filename: sljsfp0019stt18.csv,,,
"Table 18. Percent of suicides in federal prisons, by criminal justice characteristics of prisoners, 2015–19",,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,
"Data source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 10/7/2021,,,
,,,
"Table 18. Percent of suicides in federal prisons, by criminal justice characteristics of prisoners, 2015–19",,,
Prisoner characteristic,,2015–19,
,Total suicides,120,
Most serious offense/a,,100,%
,Homicide/aggravated assault,10,
,Sex offense,19.2,
,Robbery,10.8,
,Drugs,13.3,
,Burglary/larceny,6.7,
,Fraud/bribery/extortion,3.3,
,Weapons/explosives,20,
,Immigration,3.3,
,Court charge,0.8,
Time served in prison on current sentence,,100,%
,1 week or less,0.8,
,1.1 weeks–1 month,3.3,
,1.1–6 months,9.2,
,6.1 months–1 year,7.5,
,1.1–5 years,33.3,
,5.1–10 years,18.3,
,10.1 years or more,12.5,
Hold status,,100,%
,Federal prison,76.7,
,Other authority/b,10.8,
"Note: Includes deaths in Federal Bureau of Prisons (BOP) facilities and excludes deaths in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,
"a/For prisoners convicted of more than one crime, the most serious offense is the one that carries the longest sentence.",,,
"b/Includes persons held for states, the U.S. military, or the District of Columbia; under treatment or hospital care; or on supervised release in a federal community corrections center.",,,
"Source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19.",,,
