Bureau of Justice Statistics,,,
Filename: sljsfp0019stt19.csv,,,
"Table 19. Percent of suicides in federal prisons, by circumstances of death, 2015–19",,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,
"Data source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 10/7/2021,,,
,,,
"Table 19. Percent of suicides in federal prisons, by circumstances of death, 2015–19",,,
Circumstance of death,,2015–19,
,Total suicides,120,
Time of death/a,,100,%
,Morning (6 a.m.–12 p.m.),29.6,
,Afternoon (12 p.m.–6 p.m.),18.5,
,Evening (6 p.m.–12 a.m.),25.9,
,Overnight (12 a.m.–6 a.m.),25.9,
Method of suicide,,100,%
,Suffocation/b,80.8,
,Exsanguination/c,5.8,
,Poisoning/d,6.7,
,Firearm,3.3,
,Other/e,3.3,
Location of death/f,,100,%
,General housing within prison facility/on prison grounds,13.3,
,Segregation unit,13.3,
,Medical/nursing care services unit within prison facility,3.3,
,Medical/urgent care center outside of prison facility,57.5,
,Other/unspecified/unknown,12.5,
"Note: Includes deaths in Federal Bureau of Prisons (BOP) facilities and excludes deaths in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,
a/The 2015–19 category reflects 2019 percentages because these data were collected only in 2019.,,,
"b/Includes hanging, strangulation, asphyxia, anoxia, and other methods of reducing oxygen intake.",,,
c/Includes all types of sharp force trauma or other injuries that cause acute loss of blood.,,,
d/Includes drug overdoses and ingestion or use of other poisonous substances.,,,
"e/Includes self-inflicted blunt force trauma, dehydration, and unknown or unreported causes.",,,
"f/The BOP reported only the actual location of death, not where the suicide event occurred.",,,
"Source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–19.",,,
