Bureau of Justice Statistics,,,,,,,,,,
Filename: sljsfp0019stt20.csv,,,,,,,,,,
"Table 20. Percent of state and federal prisons, by number of suicides and facility characteristics, 2019",,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of State and Federal Correctional Facilities, 2019; Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2019; and Mortality in Correctional Institutions, 2019",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 20. Percent of state and federal prisons, by number of suicides and facility characteristics, 2019",,,,,,,,,,
Facility characteristic,,Number of prison facilities,Total,,No suicides,,1 suicide/a,,2 or more suicides,
,Total,"1,161","1,161",,944,,146,,71,
Prison operator,,,,,,,,,,
,Federal,111,100,%,82.9,%,14.4,%,2.7,%
,State/joint state and local,968,100,%,80.6,,12.7,,6.7,
,Private,82,100,%,87.8,,8.5,,3.7,
Prison main function/b,,,,,,,,,,
,General adult housing,979,100,%,80.8,%,12.8,%,6.4,%
,Alcohol/drug treatment,49,100,%,95.9,,4.1,,0,
,Reception/diagnostic,41,100,%,70.7,,19.5,,9.8,
,Medical treatment,19,100,%,68.4,,21.1,,10.5,
,Mental health/psychiatric treatment,21,100,%,81,,19.1,,0,
,Work facility/boot camp/c,8,100,%,100,,0,,0,
,Other/d,44,100,%,88.6,,6.8,,4.5,
"Programs offered/b,e",,,,,,,,,,
,Drug treatment,918,100,%,80.3,%,13.7,%,6,%
,Alcohol treatment,915,100,%,79.7,,14.1,,6.2,
,Psychiatric care,721,100,%,77.1,,15.5,,7.4,
,Anger management,774,100,%,78.6,,14.2,,7.2,
,Employment training,795,100,%,79,,14.3,,6.7,
,Life skills,856,100,%,79,,14.5,,6.5,
,Parenting skills,669,100,%,81.2,,13.2,,5.7,
"Capacity/b,f",,,,,,,,,,
,Prison facilities operating at 100% capacity or less,715,100,%,84.1,%,10.6,%,5.3,%
,Prison facilities operating at more than 100% capacity,216,100,%,76.9,,16.7,,6.5,
,Median rated/design capacity,,,,927, beds,"1,365", beds,"1,738", beds
,Mean rated/design capacity,,,,"1,004.9",,"1,598",,"1,998.4",
"Note: Includes state and federal confinement facilities. Excludes state and federal community corrections facilities where offenders spend 50% or more of the day outside of confinement. Includes deaths in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes deaths in Federal Bureau of Prisons (BOP) facilities and excludes deaths in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology. ",,,,,,,,,,
a/Excludes three suicides reported to BJS’s Mortality in Correctional Institutions collection by facilities that were not considered confinement facilities in the Census of State and Federal Correctional Facilities.,,,,,,,,,,
b/As of midyear (last weekday in June).,,,,,,,,,,
"c/Includes facilities that primarily hold probation and parole violators, prerelease facilities, and other facilities that may allow movement in the community for less than 50% of the day.",,,,,,,,,,
"d/Includes housing for specific populations, such as juvenile offenders, sex offenders, or low security non-U.S. citizens; vocational and work camps; faith-based facilities; and geriatric care facilities.",,,,,,,,,,
e/Prison facilities can offer multiple programs. The 2019 Census of State and Federal Correctional Facilities did not measure whether prisoners who died by suicide had participated in or had access to the programs.,,,,,,,,,,
f/Facilities operating above 100% capacity held more prisoners than their rated or design capacity. A total of 275 facilities did not report either type of capacity. See Terms and definitions.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of State and Federal Correctional Facilities, 2019; Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2019; and Mortality in Correctional Institutions, 2019. ",,,,,,,,,,
