Bureau of Justice Statistics,,,,,,,,,,
Filename: sljsfp0019stt21.csv,,,,,,,,,,
"Table 21. Percent of state and federal prisons, by number of suicides and population characteristics, 2019",,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of State and Federal Correctional Facilities, 2019; Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2019; and Mortality in Correctional Institutions, 2019",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 21. Percent of state and federal prisons, by number of suicides and population characteristics, 2019",,,,,,,,,,
Population characteristic,,Number of prison facilities,Total,,No suicides,,1 suicide/a,,2 or more suicides,
,Total,"1,161","1,161",,944,,146,,71,
Prisoners in facility/b,,,,,,,,,,
,499 or fewer,315,100,%,97.1,%,2.2,%,0.6,%
,500–999,280,100,%,87.9,,9.3,,2.9,
,"1,000–1,499",281,100,%,79,,15.3,,5.7,
,"1,500–1,999",137,100,%,61.3,,26.3,,12.4,
,"2,000–2,499",65,100,%,61.5,,21.5,,16.9,
,"2,500 or more",83,100,%,55.4,,24.1,,20.5,
Security level,,,,,,,,,,
,Maximum/c,376,100,%,64.6,%,21.3,%,14.1,%
,Medium/d,451,100,%,84.7,,11.8,,3.6,
,Minimum,289,100,%,96.2,,3.5,,0.4,
,Uncategorized,47,100,%,91.5,,6.4,,2.1,
"Prisoners in restricted housing/b,e",,,,,5.5,%,6.5,%,11.5,%
Facility staff with security responsibilities/b,,,,,72.8,%,68,%,68,%
"Prisoners per security staff member/b,f",,,,,,,,,,
,Daytime shift,,,,16.9, prisoners,16.5, prisoners,17.2, prisoners
,Nighttime shift,,,,24,,24.1,,24.6,
,Overnight shift,,,,51.4,,53.8,,61.9,
,Total security staff,,,,4.9,,4.7,,4.8,
"Note: Includes state and federal confinement facilities. Excludes state and federal community corrections facilities where offenders spend 50% or more of the day outside of confinement. Includes deaths in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Includes deaths in Federal Bureau of Prisons (BOP) facilities and excludes deaths in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,
a/Excludes three suicides reported to BJS’s Mortality in Correctional Institutions collection by facilities that were not considered confinement facilities in the Census of State and Federal Correctional Facilities.,,,,,,,,,,
b/As of midyear (last weekday in June). ,,,,,,,,,,
"c/Includes super maximum facilities, administrative facilities, and facilities reporting a range of security levels with the highest level being maximum.",,,,,,,,,,
d/Includes facilities that reported multilevel physical security in which the closest security level was medium.,,,,,,,,,,
"e/Includes prisoners held in protective custody, in administrative segregation, for disciplinary reasons, on death row, on suicide watch, or in other types of housing apart from the facility’s general population. Percentages are based on the total number of prisoners in facilities with restricted housing programs.",,,,,,,,,,
f/Ratios are based on prison facilities that reported staffing levels for all shifts.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of State and Federal Correctional Facilities, 2019; Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2019; and Mortality in Correctional Institutions, 2019.",,,,,,,,,,
