Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t03.csv,,,,,,,,,,,,,
"Table 3. Allegations of sexual victimization reported by federal and state prison authorities, by type of victimization, 2009",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2009",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 3. Allegations of sexual victimization reported by federal and state prison authorities, by type of victimization, 2009",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
Jurisdiction and facility,,Prisoners in custody on 12/31/2009a,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,Total,"1,395,317","1,379",101,,"1,270",153,,"2,057",218,,"1,391",46
Federal,,"171,000",58,0,,28,0,,197,2,,122,6
State,,"1,224,317","1,321",101,,"1,242",153,,"1,860",216,,"1,269",40
,Alabama,"26,358",57,2,,5,1,,29,4,,1,0
,Alaska,"3,846",4,1,,1,0,,0,0,,0,0
,Arizona,"31,573",38,1,,14,0,,41,5,,0,0
,Arkansas,"13,338",15,5,,16,5,,44,2,,14,0
,California,"166,514",95,2,,44,2,,33,2,,1,0
,Colorado,"17,768",22,2,,8,3,,10,3,,14,1
,Connecticut,"18,053",15,1,,15,1,,5,1,,1,0
,Delaware,"6,581",9,0,,5,0,,5,1,,0,0
,Florida,"91,561",50,0,,221,0,,161,3,,372,3
,"Georgia/b,c","48,409",38,0,,/,/,,34,2,,27,1
,Hawaii/c,"3,200",1,1,,/,/,,0,0,,1,0
,"Idaho/c,d,e","5,118",1,1,,/,/,,5,3,,/,/
,Illinois,"45,161",25,4,,10,0,,26,5,,1,0
,Indiana,"24,269",30,0,,16,3,,51,12,,9,2
,Iowa,"8,914",31,5,,51,18,,48,11,,14,2
,Kansas,"8,644",26,4,,24,4,,31,1,,11,1
,Kentucky,"12,493",23,2,,8,1,,13,2,,2,0
,Louisiana,"16,967",19,3,,4,2,,70,2,,77,0
,Maine,"2,074",1,1,,3,2,,3,2,,1,1
,Maryland/c,"21,962",23,0,,/,/,,2,1,,20,0
,Massachusetts,"11,156",30,7,,25,6,,29,3,,4,0
,Michigan/b,"45,478",8,4,,32,13,,31,2,,357,1
,Minnesota,"9,309",23,5,,5,1,,12,0,,0,0
,"Mississippi/c,e","11,926",4,0,,/,/,,1,1,,/,/
,Missouri,"30,519",56,7,,8,2,,128,12,,11,3
,Montana,"1,651",25,6,,7,5,,25,0,,2,0
,Nebraska,"4,490",9,0,,17,2,,27,0,,20,1
,Nevada,"12,570",12,2,,5,1,,14,1,,8,0
,New Hampshire,"2,915",7,0,,3,0,,8,0,,0,0
,New Jersey,"21,165",5,0,,0,0,,5,3,,1,0
,New Mexico,"3,762",3,1,,0,0,,3,0,,3,1
,New York,"58,479",33,1,,7,0,,173,12,,38,2
,North Carolina,"39,916",54,1,,24,10,,230,23,,125,3
,North Dakota,"1,436",1,0,,2,2,,1,0,,2,0
,Ohio,"48,588",57,10,,25,10,,41,8,,10,0
,Oklahoma,"18,064",40,3,,11,4,,34,9,,6,2
,Oregon,"13,735",15,1,,7,1,,10,2,,5,0
,Pennsylvania,"49,565",26,5,,13,4,,21,6,,13,1
,Rhode Island/e,"3,413",3,0,,3,2,,7,2,,/,/
,South Carolina/d,"23,671",1,1,,1,1,,2,2,,0,0
,South Dakota,"3,377",13,0,,9,0,,5,3,,0,0
,Tennessee,"14,824",26,0,,3,1,,14,6,,4,0
,Texas/f,"139,335",168,0,,450,5,,73,3,,/,/
,Utah,"5,244",12,2,,28,2,,6,1,,1,1
,Vermont,"1,552",16,2,,27,14,,26,12,,7,2
,Virginia,"29,420",30,2,,8,3,,34,13,,2,2
,Washington,"17,131",84,4,,35,9,,211,17,,62,8
,West Virginia,"5,062",4,0,,1,1,,25,11,,6,2
,Wisconsin,"22,245",33,2,,36,9,,49,1,,16,0
,Wyoming,"1,516",0,0,,5,3,,4,1,,0,0
/ Not reported.,,,,,,,,,,,,,
"a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on National Prisoner Statistics, 2009, “Inmates in custody of state or federal correctional facilities, excluding private prisons, December 31, 1978–2011,” generated using the Corrections Statistical Analysis Tool at www.bjs.gov.",,,,,,,,,,,,,
b/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
d/Counts of nonconsensual sexual acts were based on substantiated acts only.,,,,,,,,,,,,,
e/Allegations of staff sexual harassment could not be counted separately from staff sexual misconduct.,,,,,,,,,,,,,
f/Agency did not record allegations of staff sexual harassment.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009.",,,,,,,,,,,,,
