Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t04.csv,,,,,,,,,,,,,
"Table 4. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2011",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2011",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 4. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2011",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
Jurisdiction and facility,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,Total,"347,083",615,54,,244,42,,390,48,,98,19
Alabama,,,,,,,,,,,,,
,"Jefferson Co./a,b","1,127",3,1,,/,/,,0,0,,/,/
,Madison Co.,935,0,0,,1,0,,0,0,,0,0
,"Mobile Co./a,b","1,560",2,0,,/,/,,0,0,,/,/
,"Morgan Co./a,b",266,1,0,,/,/,,1,1,,/,/
,"Russellville City/a,b",6,0,0,,/,/,,1,1,,/,/
,Shelby Co./c,410,0,0,,0,0,,1,1,,0,0
,Winston Co.,60,0,0,,0,0,,1,0,,0,0
Arizona,,,,,,,,,,,,,
,Coconino Co. ,509,0,0,,0,0,,1,0,,0,0
,Maricopa Co./a,"7,358",17,0,,/,/,,8,0,,5,0
,Pima Co. ,"1,661",8,0,,0,0,,0,0,,0,0
,Yuma Co. ,605,0,0,,0,0,,0,0,,12,0
Arkansas,,,,,,,,,,,,,
,Faulkner Co.,341,0,0,,0,0,,1,0,,1,0
,Miller Co.,222,2,0,,0,0,,0,0,,0,0
California,,,,,,,,,,,,,
,Alameda Co.,"3,755",1,1,,3,0,,0,0,,1,0
,Amador Co.,78,1,1,,0,0,,0,0,,0,0
,Fresno Co. ,"2,246",4,0,,1,0,,1,0,,0,0
,Imperial Co. ,568,0,0,,0,0,,1,0,,0,0
,Kern Co. ,"2,427",1,0,,0,0,,2,2,,1,1
,"Los Angeles Co./a,d","15,766",11,0,,/,/,,6,0,,/,/
,Orange Co.,"5,805",1,0,,1,0,,3,2,,0,0
,"Placer Co./a,e",551,1,0,,/,/,,0,0,,0,0
,Riverside Co.,"3,264",3,1,,2,2,,1,0,,0,0
,Sacramento Co. ,"2,134",4,0,,1,0,,0,0,,0,0
,San Bernardino Co. West Valley Det. Ctr. ,"5,507",7,7,,0,0,,0,0,,0,0
,San Diego Co./a,"4,630",12,0,,/,/,,1,0,,0,0
,San Francisco Co. & City/a,"1,564",1,0,,/,/,,3,0,,0,0
,San Joaquin Co./b,"1,203",1,0,,3,1,,1,1,,/,/
,Santa Barbara Co.,899,0,0,,0,0,,2,0,,0,0
,Santa Clara Co.,"3,562",5,0,,2,0,,0,0,,0,0
,Stanislaus Co./a,"1,020",0,0,,/,/,,1,0,,0,0
,Tulare Co. ,"1,374",2,1,,0,0,,1,1,,0,0
Colorado,,,,,,,,,,,,,
,Adams Co. Det. Fac.,"1,098",0,0,,1,1,,1,0,,0,0
,Arapahoe Co. ,"1,198",1,1,,2,0,,1,0,,0,0
,Bent Co. ,2,1,1,,0,0,,1,1,,0,0
,Boulder Co.,445,0,0,,4,1,,0,0,,0,0
,Denver Co./b,"2,104",0,0,,9,0,,2,0,,/,/
,Douglas Co.,338,0,0,,1,1,,0,0,,0,0
,El Paso Co.,"1,264",0,0,,1,1,,2,1,,0,0
,Jefferson Co./b,"1,139",2,1,,3,0,,0,0,,/,/
,Pueblo Co. ,535,1,1,,0,0,,1,0,,0,0
District of Columbia,,,,,,,,,,,,,
,"District of Columbia/a,b","2,107",2,1,,/,/,,0,0,,/,/
Florida,,,,,,,,,,,,,
,Brevard Co.,"1,579",1,0,,1,0,,0,0,,0,0
,Broward Co. Det. Ctr.,"4,450",3,0,,0,0,,5,1,,0,0
,Indian River Co. ,509,4,0,,0,0,,3,1,,1,0
,Jacksonville City,"3,986",5,0,,1,1,,0,0,,0,0
,Lee Co.,"1,718",1,0,,1,0,,1,0,,0,0
,Manatee Co.,"1,048",1,0,,1,0,,0,0,,0,0
,"Marion Co./a,b","1,668",4,1,,/,/,,0,0,,/,/
,Miami-Dade Co. Corr. & Rehab ,"5,418",8,0,,1,0,,7,0,,3,0
,Orange Co. ,"3,403",2,0,,4,2,,1,1,,1,1
,Palm Beach Co.,"2,502",4,0,,0,0,,2,0,,0,0
,Pasco Co./b,"1,356",1,0,,0,0,,0,0,,0,0
,Pinellas Co.,"3,084",2,0,,0,0,,0,0,,0,0
,Polk Co. ,"2,109",6,0,,10,1,,1,0,,0,0
,Santa Rosa Co. ,497,0,0,,0,0,,1,0,,0,0
,Seminole Co. John E. Polk Corr. Fac. ,930,1,0,,0,0,,0,0,,0,0
,St. Lucie Co.,"1,206",0,0,,3,2,,1,0,,0,0
,Volusia Co. Division of Corr.,"1,400",2,0,,0,0,,1,0,,0,0
Georgia,,,,,,,,,,,,,
,"Atlanta City Det. Ctr./a,b",481,11,5,,/,/,,4,0,,/,/
,Carroll Co.,514,1,0,,0,0,,0,0,,0,0
,Chatham Co./a,"1,745",2,0,,/,/,,1,0,,1,0
,Clayton Co./a,"1,724",1,0,,/,/,,0,0,,1,0
,"Cobb Co. Jail & Prison/a,b","2,258",1,0,,/,/,,0,0,,/,/
,Decatur Co. Prison,295,2,0,,0,0,,0,0,,0,0
,Dekalb Co./a,"3,376",1,0,,/,/,,0,0,,0,0
,Dougherty Co.,916,1,0,,0,0,,0,0,,0,0
,Fayette Co./a,292,4,1,,/,/,,0,0,,1,1
,Floyd Co./a,681,2,0,,/,/,,0,0,,0,0
,"Fulton Co./a,c","3,052",3,0,,/,/,,0,0,,/,/
