Bureau of Justice Statistics,,
Filename: ssvacf0911t07.csv,,
"Table 7. Local jail authorities with no allegations of sexual victimization, 2011",,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,
"Data source: Survey of Sexual Violence, 2011",,
"Author(s): Allen J. Beck, Ramona R. Rantala, Jessica Rexroat",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 1/9/14,,
,,
 ,,
"Table 7. Local jail authorities with no allegations of sexual victimization, 2011",,
Jurisdiction and facility,,Average daily population
,Total,"123,795"
Alabama,,
,Albertville City ,41
,Alexander City ,5
,Carbon Hill City ,3
,Cherokee Co. ,122
,Chilton Co.,195
,"Covington Co./a,b",200
,De Kalb Co.,258
,Hale Co. ,43
,Irondale City,1
,Jackson Co.,150
,Marion Co. ,104
,Montgomery City,332
,Montgomery Co. ,526
,Orange Beach City,21
,Tuscaloosa Co. ,622
,Walker Co. ,218
,"Warrior City/c,d,e,f",1
,Wilcox Co./g,50
Alaska,,
,Craig City,80
,Kotzebue Reg. Jail,12
,"Petersburg City/a,b",1
Arizona,,
,"Navajo Co./a,b",299
Arkansas,,
,Benton Co./b,464
,"Cabot City/a,b",2
,Carroll Co.,35
,"Conway Co./a,b",51
,Craighead Co. Det. Ctr.,326
,Hempstead Co.,60
,Howard Co./b,30
,Jefferson Co.,260
,Lafayette Co.,22
,"Marion Co./a,b",12
,Pulaski Co. Reg. Jail,"1,310"
,Saline Co. Det. Fac./a,148
,Sheridan City,70
California,,
,Contra Costa Co./a,"1,750"
,El Dorado Co.,313
,Glendale City,14
,Kings Co./a,480
,Mariposa Co. ,39
,Merced Co. ,925
,Monterey Co. ,"1,015"
,Rio Consumnes Corr. Ctr. ,"1,898"
,"San Mateo Co./a,b",979
,Solano Co. ,944
,Sutter Co. ,205
,Ventura Co.,"1,535"
,Yolo Co. Monroe Det. Ctr.,396
,Yuba Co. ,365
Colorado,,
,"Montrose Co./b,d",76
,"Otero Co./a,b",41
,Park Co. ,80
,"Routt Co./a,b",25
,Sedgwick Co./a,2
,"Washington Co./a,b",160
Florida,,
,Baker Co.,141
,Collier Co. Det. Ctr.,900
,Escambia Co. ,"1,382"
,Gilchrist Co.,30
,Glades Co.,503
,"Highlands Co./a,b",403
,"Hillsborough Co./a,b","3,104"
,Jackson Co. Corr. Fac. ,217
,"Lake Co. Det. Ctr./b,d",895
,Leon Co. Det. Fac. ,966
,Monroe Co./b,576
,Sumter Co./b,251
,Taylor Co. ,75
Georgia,,
,"Athens-Clarke Co. Corr. Inst./a,b",108
,Augusta-Richmond Co. ,899
,Baldwin Co.,230
,Bank Co. ,37
,Bleckley Co./h,45
,Burke Co.,133
,"Carroll Co. Prison/a,b",238
,Cherokee Co. ,548
,Claxton City ,2
,Colquitt Co. Prison,180
,Coweta Co. Jail,350
,Dade Co. ,46
,"Dawson Co./a,b",163
,Decatur Co.,124
,Elbert Co. ,60
,Floyd Co. Prison ,344
,Forsyth Co.,409
,Glynn Co. Det. Ctr.,459
,Greene Co./a,74
,Gwinnett Co. Comprehensive Corr. Complex ,434
,"Hall Co. Det. Ctr./a,b",997
,"Irwin Co. Det. Ctr./a,b",751
,Kennesaw City,15
,"Mitchell Co./a,b",105
,Oconee Co. ,68
,Randolph Co. ,23
,Screven Co.,85
,Sumter Co. ,160
,Sumter Co. Prison/a,343
,"Telfair Co./b,g,i",28
,"Whitfield Co./a,b",409
Idaho,,
,Ada Co.,949
,Idaho Co.,9
,Jerome Co. ,61
,Owyhee Co. ,23
Illinois,,
,Clay Co. ,5
,Dewitt Co. ,66
,Du Page Co.,813
,Fayette Co.,33
,Hancock Co.,20
,Jersey Co. ,32
,Knox Co. ,138
,Macon Co./a,290
,Madison Co./a,273
,Morgan Co. ,52
,"Ogle Co./a,b",89
,"Peoria Co./a,b",478
Indiana,,
,Boone Co.,131
,Greene Co./a,68
,Hendricks Co./b,278
,Howard Co. ,307
,Johnson Co.,285
,Miami Co.,97
,Monroe Co./a,247
,"Morgan Co./a,b",290
,Porter Co. ,418
,Rush Co. ,36
,Shelby Co. ,180
,"Warren Co./a,b,i",28
,"Washington Co./a,b",76
,White Co.,114
Iowa,,
,Adair Co.,3
,Benton Co. ,14
,"Bremer Co./a,b",50
,Butler Co. ,1
,"Cherokee Co./g,h,i",8
,Hancock Co.,5
,Hardin Co./a,79
,Henry Co.,8
,Lee Co.,44
