Bureau of Justice Statistics,,
Filename: ssvacf0911t09.csv,,
"Table 9. Local jail authorities with no allegations of sexual victimization, 2009",,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,
"Data source: Survey of Sexual Violence, 2009",,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 1/8/14,,
,,
 ,,
"Table 9. Local jail authorities with no allegations of sexual victimization, 2009",,
Jurisdiction and facility,,Average daily population
,Total,"131,655"
Alabama,,
,Arab City,14
,Baldwin Co. Corr. Ctr. ,600
,Barbour Co./a,100
,Clarke Co. ,100
,Coffee Co. ,158
,Colbert Co.,76
,Covington Co.,198
,De Kalb Co./b,280
,Fayette Co.,48
,Jackson Co.,130
,Jefferson Co.,"1,100"
,Lamar Co.,60
,Limestone Co./b,234
,Marshall Co. ,255
,Midfield City,3
,Pickens Co.,107
,Russell Co.,308
,Satsuma City ,7
,Walker Co. ,173
Alaska,,
,Bristol Bay Borough,1
Arizona,,
,Cochise Co.,241
,Pinal Co./b,"1,196"
,Santa Cruz Co./b,103
Arkansas,,
,"Benton Co./b,c",492
,Clay Co. ,97
,Garland Co. Criminal Det. Fac. ,217
,Lawrence Co. ,42
,Lincoln Co.,17
,Miller Co.,275
,Montgomery Co. ,10
,Pope Co. Det. Ctr./b,178
,Pulaski Co. Reg. Jail,998
,Saline Co. Det. Fac.,317
,St. Francis Co.,85
,White Co. Det. Ctr.,179
California,,
,Glendale City,14
,Glenn Co.,95
,"Lake Co. Hill Road Corr. Fac./c,d",230
,Long Beach City,98
,Marin Co.,267
,Mendocino Co.,283
,Monterey Co. ,"1,004"
,"San Mateo Co./b,c","1,107"
,Stanislaus Co.,"1,322"
,Tulare Co. ,"1,530"
,Tuolumne Co./b,141
,"Yolo Co. Monroe Det. Ctr./b,c",449
Colorado,,
,Adams Co. Det. Fac.,"1,298"
,Arapahoe Co. ,"1,057"
,"Clear Creek Co./b,c",90
,Delta Co.,63
,El Paso Co.,"1,499"
,"Lincoln Co./b,c",29
,Montezuma Co.,118
,Montrose Co.,165
,Morgan Co. Det.,95
Florida,,
,Collier Co. Det. Ctr.,881
,Flagler Inmate Fac.,138
,Glades Co.,538
,"Hendry Co./a,b,c,e",233
,Hillsborough Co./b,"3,461"
,Lafayette Co.,20
,Leon Co. Det. Fac. ,991
,Liberty Co.,56
,"Marion Co./b,c","1,648"
,Monroe Co. ,593
,Suwanee Co.,170
,Taylor Co. ,108
,Washington Co. ,120
Georgia,,
,"Athens-Clarke Co. Corr. Inst./b,c",107
,Augusta-Richmond Co. ,"1,006"
,Barrow Co. Det. Ctr.,247
,Ben Hill Co. ,104
,Brantley Co. ,91
,Butts Co. Det. Ctr.,175
,Carroll Co. Prison,225
,Clarke Co. ,370
,Cobb Co. Jail & Prison,"2,385"
,"Colquitt Co. Prison/b,c",177
,Coweta Co. Prison & Corr. Inst. ,202
,Dawson Co.,183
,Dooly Co.,141
,Fannin Co. ,64
,Forsyth Co.,353
,Fulton Co./b,"2,846"
,Glynn Co. Det. Ctr.,470
,Gordon Co. ,275
,Hall Co. Det. Ctr.,"1,128"
,Haralson Co. ,82
,"Irwin Co. Det. Ctr./b,c",670
,Jackson Co.,157
,"Jefferson Co./b,c",201
,Jones Co.,154
,Lowndes Co.,698
,"Mcintosh Co./b,c",100
,Milledgeville City ,4
,Murray Co. ,105
,Muscogee Co. Prison,572
,Pickens Co.,71
,Pike Co. ,59
,"Polk Co./b,c",208
,Putnam Co. ,87
,Rabun Co. Det. Ctr.,79
,Rockdale Co. ,485
,"South Fulton Municipal Reg. Jail - Union City/b,c",323
,Stephens Co. ,179
,Sumter Co. Prison,342
,Upson Co./b,173
,"Walker Co./b,c",203
Idaho,,
,Bingham Co.,104
,Nez Perce Det. Fac./b,56
,"Oneida Co./b,c, f",270
Illinois,,
,De Kalb Co.,118
,"Jefferson Co. Justice Ctr./b,e,g",180
,Macon Co.,245
,Mason Co.,45
,St. Clair Co.,311
,Stephenson Co./b,164
,Wayne Co.,24
,White Co.,70
,Whiteside Co.,109
,Williamson Co./b,97
Indiana,,
,Allen Co.,790
,Boone Co./b,144
,Cass Co. ,171
,Clay Co. ,125
,Daviess Co. Security Ctr.,194
,Jackson Co.,187
,Johnson Co.,304
,Knox Co. ,188
,Kosciusko Co./e,239
,"Morgan Co./b,c",230
,Randolph Co. ,87
,Ripley Co. ,99
,Starke Co./e,69
,Tipton Co. ,36
,Wayne Co.,324
,White Co.,122
,Whitley Co.,154
Iowa,,
,Clay Co. ,8
,Hardin Co. ,85
,Keokuk Co. ,6
,Lucas Co./b,5
,Lyon Co. ,18
,"O’Brien Co./b,c",29
,Polk Co. ,"1,060"
,Pottawattamie Co.,204
,Scott Co.,258
Kansas,,
,Finney Co. ,126
,Harvey Co. Det. Ctr./a,100
,Jackson Co./b,87
,Leavenworth Co.,109
,Lyon Co. ,135
,Miami Co.,42
,Russell Co.,16
,Smith Co.,1
,Sumner Co. L.E. Ctr.,90
,Woodson Co.,2
Kentucky,,
,Barren Co. Corr. Ctr.,120
,Boone Co./b,405
,Bourbon Co. Det. Ctr./e,110
,Casey Co. Det. Ctr.,265
,Christian Co./b,631
,Clark Co. Det. ,177
,Crittenden Co. Det. Ctr. ,101
,"Henderson Co. Det. Ctr./c,e,g",540
,Larue Co. Det. Ctr.,156
,Mason Co.,143
,Meade Co. Det. Ctr.,143
,Muhlenberg Co. Det. Ctr./b,269
,Nelson Co. ,129
,Rockcastle Co. Det. Ctr./c,98
,Simpson Co. Det. Ctr./c,205
,"Three Forks Reg. Det. Ctr./b,c",214
,Webster Co. Det. Ctr./c,104
Louisiana,,
,"Amite City/b,c",8
,Avoyelles Parish ,"1,218"
,Concordia Parish Corr. Fac.,510
,De Soto Parish ,91
,East Feliciana Parish Prison ,200
,Iberville Parish ,128
,Jackson Parish Corr. Ctr.,823
,Madison Parish Det. Ctr. ,"1,074"
,Madison Parish Jail/e,33
,"Natchitoches Det. Ctr./b,g",438
,Shreveport City,132
,St. Bernard Parish Prison/e,260
,St. Landry Parish,236
,Vermilion Parish L.E. Ctr.,142
,"Vernon Parish Corr. Fac./h,i",200
Maine,,
,Penobscot Co.,168
,Washington Co. ,37
,York Co. ,228
Maryland,,
,Cecil Co. Det. Ctr.,181
,Charles Co. Det. Ctr.,392
,Garrett Co.,46
,Kent Co. Det. Ctr. ,84
,Queen Anne’s Co. Det. Ctr. ,96
,Worcester Co.,175
Massachusetts,,
,Essex Co. Corr. Fac. ,842
,Plymouth Co. House of Corr./b,"1,272"
Michigan,,
,"Alger Co./b,c",15
,Arenac Co./b,37
,Chippewa Co. ,116
,Clare Co./c,167
,Delta Co.,95
,Grand Traverse Co./b,137
,"Isabella Co./b,c",206
,Kent Co. ,"1,131"
,Lapeer Co. ,137
,"Midland Co./b,c",110
,Monroe Co. ,325
,Newaygo Co.,210
,Osceola Co.,65
,Saginaw Co./b,487
,Van Buren Co.,143
Minnesota,,
,Anoka Co.,211
,Anoka Co. Work Release #1 & 4,131
,Brown Co.,27
,Carver Co. ,85
,Goodhue Co.,97
,Hennepin Co. Adult Det. Ctr. ,694
,Isanti Co. ,63
,Stearns Co.,193
,Washington Co. ,200
,Watonwan Co. ,12
Mississippi,,
,"Carroll-Montgomery Co. Reg. Corr. Ctr./a,e,g",317
,Chickasaw Co.,82
,"Claiborne Co./b,c",2
,Coahoma Co.,100
,Humphreys Co.,31
,Jefferson-Franklin Co. Corr. Fac.,277
,Lincoln Co.,80
,Marion-Walthall Co. Reg. Corr. Fac.,100
,Monroe Co./b,91
,Panola Co. ,104
,Tishomingo Co. ,32
Missouri,,
,"Barton Co./c,e",20
,Bates Co.,100
,Boone Co.,200
,Cape Giradeau Co.,184
,Cole Co. ,48
,Daviess-Dekalb Reg. Jail ,170
,Franklin Co. ,123
,"Lafayette Co./b,c",96
,Mississippi Co.,100
,Moniteau Co. ,12
,Pemiscot Co. ,104
,Platte Co. ,95
,St. Louis City ,"1,296"
,Ste. Genevieve Co./g,110
,Stone Co. L.E. Ctr.,45
,Warren Co. ,98
,"West Plains City/b,c",1
Montana,,
,Lake Co./b,36
,Musselshell Co.,6
,Roosevelt Co.,12
,Yellowstone Co. Det. Fac./b,350
Nebraska,,
,Dakota Co./b,105
,Holt Co. ,300
,"Kearney Co./b,c",2
,"Platte Co./b,g",116
,Seward Co. ,22
Nevada,,
,Henderson Det. Ctr.,263
,Nye Co.,4
New Hampshire,,
,Belknap Co.,99
,Cheshire Co. ,112
New Jersey,,
,Atlantic Co./b,"1,015"
,Mercer Co. Corr. Ctr.,"1,030"
New Mexico,,
,"Chaves Co. Det. Ctr./b,c",217
,Dona Ana Co. Det. Ctr./b,818
,Luna Co. Det. Ctr. ,263
,Quay Co. Det. Ctr. ,37
New York,,
,Cayuga Co. ,203
,Chemung Co.,190
,Chenango Co. ,66
,Columbia Co. ,105
,"Cortland Co./a,e",63
,"Dutchess Co./b,c",344
,Madison Co.,107
,Monroe Co. ,"1,439"
,Montgomery Co./g,107
,Ontarion Co. ,222
,"Wayne Co./b,c",116
North Carolina,,
,Buncombe Co. ,431
,Duplin Co. ,119
,"Franklin Co. Det. Ctr./b,c",132
,Halifax Co.,124
,Harnett Co.,161
,Hertford Co. ,98
,Iredell Co.,324
,Johnston Co./b,202
,McDowell Co. ,99
,Mecklenburg Co.,"2,846"
,New Hanover Det. Fac.,474
,Pender Co. ,78
,Richmond Co./b,90
,Rockingham Co. ,180
,Transylvania Co. ,42
,Vance Co.,179
,Wake Co. ,"1,335"
,Wayne Co.,212
,Wilson Co. ,190
North Dakota,,
,Bottineau Co.,5
,Burleigh Co. Det. Ctr. ,122
,Cass Co. ,201
Ohio,,
,Allen Co.,217
,Ashtabula Co.,80
,Butler Co. ,950
,Crawford Co. ,101
,Delaware Co./b,152
,Fairfield Co.,169
,Greene Co. ,256
,Harrison Co. ,8
,Huron Co.,91
,Logan Co./b,56
,Miami Co./b,89
,Muskingum Co.,163
,Pickaway Co. ,131
,Portage Co.,212
,Richland Co. ,229
,Summit Co. & Glenwood Annex,697
,Wayne Co.,112
,Zanesville City,40
Oklahoma,,
,Adair Co.,70
,Carter Co. ,201
,Checotah City,3
,Custer Co. ,120
,Garfield Co. ,269
,Harmon Co. ,7
,Kay Co. Det. Ctr./c,129
,Le Flore Co. Det. Ctr. ,155
,Lincoln Co./b,55
,"Okfuskee Co./b,e",34
,Ottawa Co./b,132
,Rogers Co./e,198
,Wagoner Co.,98
Oregon,,
,Columbia Co./b,110
,"Harney Co./b,c",14
,Klamath Co./b,123
,Northern Oregon Reg. Corr. Fac./c,105
Pennsylvania,,
,"Blair Co. Prison/b,c",289
,Clearfield Co. Prison,112
,Fayette Co. Prison ,234
,"Greene Co. Prison/b,c",82
,Lackawanna Co. Prison,920
,Lawrence Co. Corr. ,196
,Mifflin Co.,118
,Montgomery Co. ,"1,768"
,"Pike Co./b,c,g",321
,Union Co.,51
,"Venango Co./b,c",147
,"Warren Co. Prison/b,c",115
,Wayne Co.,94
,"Westmoreland Co. Prison/b,c",506
South Carolina,,
,Alvin S. Glenn Det. Ctr. ,992
,Berkely Co.,375
,"Charleston Co./b,c","1,728"
,Chester Co./b,113
,Darlington Co. ,214
,"Dillon Co./d,f",175
,Lancaster Co.,173
,Marion Co. ,95
,Newberry Co. ,187
,Sumter-Lee Reg. Det. Ctr.,403
,Williamsburg Co./b,96
,York Co. Prison,154
South Dakota,,
,Day Co.,5
,Meade Co.,45
Tennessee,,
,Bedford Co.,100
,Bradley Co.,362
,Carroll Co./b,87
,Cheatham Co./c,135
,"Chester Co./b,c",36
,Cocke Co.,60
,De Kalb Co.,80
,"Dickson Co./b,c",242
,Franklin Co. ,129
,Grainger Co. ,83
,"Henry Co./b,c",165
,Johnson Co.,97
,Knox Co. ,"1,070"
,Marion Co./b,76
,"Monroe Co./a,b,c,e,g",191
,"Obion Co./b,c",144
,Overton Co.,144
,Robertson Co.,226
,"Sequarchie Co./b,c",88
,Williamson Co. ,301
Texas,,
,Aransas Co.,192
,"Bastrop Co./b,c",315
,"Bee Co./b,c",104
,Bell Co. ,632
,Brazoria Co. ,870
,Caldwell Co. ,185
,Cochran Co.,5
,Coleman Co./b,7
,Denton Co. ,"1,181"
,Fannin Co./b,330
,Guadalupe Co.,479
,Harrison Co. ,180
,Hill Co. ,149
,Hood Co./c,166
,"Hopkins Co./b,c,g",79
,Hutchinson Co. ,57
,Kaufman Co.,289
,Kerr Co. ,144
,"Kinney Co./b,c,g",23
,Kleberg Co./j,95
,"Matagorda Co./b,c",163
,"Menard Co./b,c",5
,Milam Co.,122
,Montague Co. ,69
,Morris Co. ,28
,"Nacogdoches Co./b,c",208
,"Orange Co./b,c",192
,Shelby Co./g,51
,Starr Co.,224
,Tarrant Co./b,"3,175"
,Van Zandt Co./c,154
,Washington Co./j,104
,Webb Co. ,480
,Wise Co. ,180
,Wood Co. ,79
Utah,,
,Box Elder Co.,127
,Cache Co./c,300
,Emery Co.,37
,San Juan Co. ,87
,Sevier Co. ,106
,Utah Co. ,726
Virginia,,
,Accomack Co./b,98
,Amherst Co.,77
,Bristol City/b,123
,Brunswick Co.,55
,Central Virginia Reg. Jail ,451
,Danville City/b,244
,Fairfax Co. Adult Det. Ctr.,"1,354"
,Middle Penninsula Reg. Security Ctr. ,199
,Montgomery Co. ,116
,Pittsylvania Co. ,132
,Rappahannock Reg. Jail & Annex/c,"1,206"
,Roanoke Co.,170
,Shenandoah Co. ,107
,"Virginia Beach City/b,c","1,370"
,Warren Co./b,127
Washington,,
,Ferry Co./b,30
,"Kittitas Co. Corr. Ctr./b,c",122
,Mason Co.,109
,Okanogan Co. ,162
,Olympia City ,47
,Spokane Co.,559
Wisconsin,,
,"Adams Co./b,c",67
,Barron Co. Justice Ctr.,105
,Jefferson Co.,176
,Langlade Co. ,97
,"Manitowoc Co./b,c",168
,Marathon Co. Adult Det. Fac. ,280
,Milwaukee Co. Corr. Fac. So. (formerly House of Corr.) ,"1,938"
,Oneida Co. ,172
,Pierce Co. ,27
,Sauk Co. ,268
,Washington Co. ,255
,Waukesha Co. ,642
,Waupaca Co.,180
Wyoming,,
,"Natrona Co. Det. Ctr./b,c",295
,"Sheridan Co./b,c",115
,Washakie Co. Det. Ctr. ,16
a/Counts of nonconsensual sexual acts were based on completed acts only.,,
b/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,
c/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,
d/Agency did not record allegations of abusive sexual contact.,,
e/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,
f/Agency did not record allegations of nonconsensual sexual acts.,,
g/Counts of staff sexual misconduct were based on substantiated allegations only.,,
h/Agency did not record allegations of staff sexual misconduct.,,
i/Agency did not record allegations of staff sexual harassment.,,
j/Average daily population was unavailable; the Deaths in Custody Reporting Program population was used in its place.,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009.",,
