Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: ssvacf0911t10.csv,,,,,,,,,,,,,,,
"Table 10. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2011",,,,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2011",,,,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Table 10. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2011",,,,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,,,
,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,,,
Jurisdiction and facility,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,
,Total,"75,579",110,6,,84,16,,151,19,,66,15,,Total
Alaska,,,,,,,,,,,,,,,
,Northstar Ctr. (GEO)/a,130,0,0,,/,/,,1,0,,1,0,,Northstar Ctr. (GEO)/a
Arizona,,,,,,,,,,,,,,,
,Arizona State Prison - Florence West (GEO) ,713,0,0,,2,1,,1,0,,0,0,,Arizona State Prison - Florence West (GEO) 
,Arizona State Prison - Kingman (MTC),"2,907",2,0,,0,0,,0,0,,0,0,,Arizona State Prison - Kingman (MTC) 
,Arizona State Prison - Phoenix West (GEO),492,0,0,,0,0,,1,0,,0,0,,Arizona State Prison - Phoenix West (GEO)
,Eloy Det. Ctr. (CCA) ,"1,479",1,0,,3,0,,3,1,,2,1,,Eloy Det. Ctr. (CCA) 
,"Tucson Res. Reentry Ctr.(Behavioral Systems Southwest)/a,b",44,0,0,,/,/,,0,0,,1,1,,
California,,,,,,,,,,,,,,,
,California City Corr. Ctr. (CCA) ,"1,428",0,0,,0,0,,1,1,,0,0,,California City Corr. Ctr. (CCA) 
Colorado,,,,,,,,,,,,,,,
,Bent Co. Corr. Fac. (CCA),"1,324",2,1,,0,0,,2,2,,0,0,,Bent Co. Corr. Fac. (CCA)
,Cheyenne Mountain Reentry Ctr. (CEC) ,657,1,0,,1,0,,4,0,,0,0,,Cheyenne Mountain Reentry Ctr. (CEC) 
,Crowley Co. Corr. Fac. (CCA) ,"1,602",0,0,,2,0,,0,0,,0,0,,Crowley Co. Corr. Fac. (CCA) 
,Kit Carson Co. Corr. Ctr. (CCA),798,2,0,,2,0,,0,0,,1,0,,Kit Carson Co. Corr. Ctr. (CCA)
,"Pueblo Comm. Corr. Svs., Inc.",75,0,0,,0,0,,1,1,,0,0,,"Pueblo Comm. Corr. Svs., Inc."
Florida,,,,,,,,,,,,,,,
,Bay Co. (CCA),861,1,0,,0,0,,0,0,,0,0,,Bay Co. (CCA)
,Bay Corr. Inst. (CCA),979,0,0,,2,0,,1,0,,0,0,,Bay Corr. Inst. (CCA)
,Citrus C (CCA) ,566,0,0,,3,2,,2,0,,4,1,,Citrus C (CCA) 
,Gadsden Corr. Fac. (MTC),"1,539",3,0,,0,0,,8,0,,0,0,,Gadsden Corr. Fac. (MTC)
,Lake City Corr. Fac. (CCA) ,887,4,0,,2,1,,3,0,,0,0,,Lake City Corr. Fac. (CCA) 
,South Bay Corr. Fac. (GEO)/a,"1,856",0,0,,/,/,,0,0,,2,1,,South Bay Corr. Fac. (GEO)/a
Georgia,,,,,,,,,,,,,,,
,Coffee Corr. Fac. (CCA)/b,"2,717",37,0,,14,0,,23,0,,/,/,,Coffee Corr. Fac. (CCA)/b
,D. Ray James Prison (GEO),"2,235",1,0,,0,0,,0,0,,0,0,,D. Ray James Prison (GEO)
,McRae Corr. Fac. (CCA) ,"1,738",0,0,,0,0,,0,0,,1,0,,McRae Corr. Fac. (CCA) 
,Wheeler Corr. Fac. (CCA) ,"2,780",0,0,,1,0,,0,0,,3,0,,Wheeler Corr. Fac. (CCA) 
Idaho,,,,,,,,,,,,,,,
,Idaho Corr. Fac. (CCA) ,"2,004",3,2,,1,0,,0,0,,1,0,,Idaho Corr. Fac. (CCA) 
Kentucky,,,,,,,,,,,,,,,
,Lee Adjustment Ctr. (CCA),448,1,0,,1,0,,2,0,,1,0,,Lee Adjustment Ctr. (CCA)
,Marion Adjustment Ctr. (CCA) ,811,1,0,,4,1,,6,2,,1,1,,Marion Adjustment Ctr. (CCA) 
,Otter Creek Corr. Complex (CCA),637,1,0,,2,1,,8,0,,0,0,,Otter Creek Corr. Complex (CCA)
Louisiana,,,,,,,,,,,,,,,
,Allen Corr. Ctr. (GEO) ,"1,469",1,0,,1,1,,0,0,,0,0,,Allen Corr. Ctr. (GEO) 
,Winn Corr. Ctr. (CCA),"1,469",1,0,,7,2,,3,0,,18,1,,Winn Corr. Ctr. (CCA)
Massachusetts,,,,,,,,,,,,,,,
,Coolidge House ,101,0,0,,0,0,,1,0,,0,0,,Coolidge House 
Mississippi,,,,,,,,,,,,,,,
,Marshall Co.Corr. Fac. (GEO)/a,973,1,0,,/,/,,2,2,,3,2,,Marshall Co.Corr. Fac. (GEO)/a
,Tallahatchie Co. Corr. Fac. (CCA),"2,606",0,0,,0,0,,1,0,,0,0,,Tallahatchie Co. Corr. Fac. (CCA)
,"Walnut Grove Corr. Fac. (GEO)/a,b","1,050",3,0,,/,/,,0,0,,/,/,,"Walnut Grove Corr. Fac. (GEO)/a,b"
,Wilkinson Co. Corr. Ctr. (CCA) ,889,1,0,,1,0,,1,0,,1,0,,Wilkinson Co. Corr. Ctr. (CCA) 
Montana,,,,,,,,,,,,,,,
,Crossroads Corr. Ctr. (CCA),631,2,0,,2,1,,7,0,,0,0,,Crossraods Corr. Ctr. (CCA)
New Mexico,,,,,,,,,,,,,,,
,Cibola Co. Corr. Ctr. (CCA),"1,175",0,0,,2,1,,0,0,,0,0,,Cibola Co. Corr. Ctr. (CCA)
