Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t12.csv,,,,,,,,,,,,,
"Table 12. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2009",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2009",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 12. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2009",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
Jurisdiction and facility,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,Total,"68,465",91,3,,38,4,,90,24,,22,1
Arizona,,,,,,,,,,,,,
,Arizona State Prison - Kingman (MTC)/a,"1,460",0,0,,0,0,,1,1,,/,/
,Eloy Det. Ctr. (CCA) ,"1,514",0,0,,1,0,,2,2,,0,0
California,,,,,,,,,,,,,
,California City Corr. Ctr. (CCA) ,"2,583",5,0,,0,0,,0,0,,0,0
Colorado,,,,,,,,,,,,,
,Bent Co. Corr. Fac. (CCA),"1,388",1,0,,1,0,,1,1,,0,0
,Cheyenne Mountain Reentry Ctr. (CEC) ,723,0,0,,3,1,,1,1,,0,0
,Crowley Co. Corr. Fac. (CCA) ,"1,420",0,0,,0,0,,4,1,,0,0
,Kit Carson Co. Corr. Ctr. (CCA),"1,324",1,0,,1,0,,0,0,,0,0
,"Phoenix Ctr. Adams Co. Comm. Corr. (CEC)/a,b,c,d",218,0,0,,/,/,,2,0,,/,/
Florida,,,,,,,,,,,,,
,Bay Corr. Inst. (CCA),981,0,0,,0,0,,2,0,,0,0
,Gadsden Corr. Fac. (CCA),"1,511",1,0,,2,0,,4,0,,1,0
,Hernando Co. (CCA),706,1,0,,0,0,,0,0,,0,0
,South Bay Corr. Fac. (GEO)/c,"1,854",1,0,,/,/,,0,0,,0,0
Georgia,,,,,,,,,,,,,
,Coffee Corr. Fac. (CCA),"1,685",2,0,,0,0,,0,0,,0,0
,D. Ray James Prison (GEO),"1,798",4,0,,0,0,,9,0,,5,0
,McRae Corr. Fac. (CCA) ,"1,735",0,0,,0,0,,2,1,,0,0
,Wheeler Corr. Fac. (CCA)/c,"1,688",3,0,,/,/,,0,0,,0,0
Indiana,,,,,,,,,,,,,
,Marion Co. Jail II (CCA) ,"1,135",0,0,,6,0,,0,0,,1,0
Kentucky,,,,,,,,,,,,,
,Lee Adjustment Ctr. (CCA),696,6,1,,2,1,,4,1,,1,0
,Marion Adjustment Ctr. (CCA) ,815,0,0,,3,0,,5,0,,0,0
,Otter Creek Corr. Complex (CCA)/c,429,2,0,,/,/,,7,2,,2,0
Louisiana,,,,,,,,,,,,,
,Allen Corr. Ctr. (GEO) ,"1,459",3,1,,0,0,,1,1,,0,0
,Winn Corr. Ctr. (CCA),"1,461",3,0,,0,0,,0,0,,7,1
Mississippi,,,,,,,,,,,,,
,Delta Corr. Fac. (CCA) ,949,0,0,,0,0,,0,0,,1,0
,East Mississippi Corr. Fac. (GEO),"1,350",3,0,,3,0,,1,1,,0,0
,Walnut Grove Corr. Fac. (GEO),"1,203",7,0,,0,0,,0,0,,0,0
,Wilkinson Co. Corr. Ctr. (CCA) ,971,1,0,,0,0,,0,0,,0,0
Montana,,,,,,,,,,,,,
,"Alpha House (Alternatives, Inc.)",196,1,0,,0,0,,1,0,,0,0
,Crossroads Corr. Ctr. (CCA),621,1,0,,1,0,,0,0,,0,0
New Mexico,,,,,,,,,,,,,
,Guadalupe Co. Corr. Fac. (GEO) ,550,0,0,,0,0,,1,1,,0,0
,New Mexico Women's Corr. Fac. (CCA),585,2,0,,1,0,,7,1,,0,0
North Carolina,,,,,,,,,,,,,
,Rivers Corr. Inst. (GEO) ,"1,345",2,0,,0,0,,0,0,,0,0
Ohio,,,,,,,,,,,,,
,Lake Erie Corr. Inst. (MTC),"1,488",2,0,,0,0,,0,0,,0,0
,North Coast Corr. Treatment Fac. (MTC)/c,690,1,0,,/,/,,0,0,,0,0
,Northeast Ohio Corr. Ctr. (CCA),"2,019",0,0,,0,0,,1,0,,0,0
,"Oriana House, Inc. ",19,0,0,,3,0,,1,0,,0,0
Oklahoma,,,,,,,,,,,,,
,Cimarron Corr. Fac. (CCA),931,3,0,,0,0,,4,1,,1,0
,"David L. Moss Criminal Justice Ctr. (Tulsa Co., CCA)","1,600",0,0,,2,1,,0,0,,0,0
,Davis Corr. Fac. (CCA) ,"1,265",4,0,,0,0,,3,3,,0,0
,Diamondback Corr. Fac. (CCA) ,"2,104",1,0,,0,0,,1,0,,0,0
,"Lawton Corr. Fac. (GEO)/a,c","2,496",15,1,,/,/,,4,2,,/,/
Pennsylvania,,,,,,,,,,,,,
,Capitol Pavilion Comm. Corr. Ctr. (CEC)/a,93,0,0,,0,0,,2,0,,/,/
,George W. Hill Corr. Fac. (CEC),"1,925",0,0,,0,0,,1,0,,0,0
Tennessee,,,,,,,,,,,,,
,Dismas House - Nashville (DC),62,0,0,,0,0,,1,1,,0,0
,Hardeman Co. (CCA) ,"1,964",4,0,,1,0,,2,0,,1,0
,Metro-Davidson Co. Det. Fac. (CCA) ,"1,103",1,0,,3,0,,2,0,,0,0
,West Tennessee Det. Fac. (CCA) ,574,1,0,,2,0,,0,0,,0,0
,Whiteville Corr. Fac. (CCA),"1,487",3,0,,0,0,,4,3,,0,0
Texas,,,,,,,,,,,,,
,Dalby Corr. Ctr. (MTC) ,"1,864",1,0,,0,0,,4,0,,0,0
,"Dawson State Jail (CCA)/a,c","2,195",1,0,,/,/,,1,0,,/,/
,Eden Corr. Ctr. (CCA),"1,541",0,0,,0,0,,1,0,,0,0
