Bureau of Justice Statistics,,,,
Filename: ssvacf0911t13.csv,,,,
"Table 13. Privately operated jail and prison authorities with no allegations of sexual victimization, 2011",,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,
"Data source: Survey of Sexual Violence, 2009",,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 1/8/14,,,,
,,,,
 ,,,,
"Table 13. Privately operated jail and prison authorities with no allegations of sexual victimization, 2011",,,,
Jurisdiction and facility,,Average daily population,,
,Total,"30,854",,
Alaska,,,,
,Seaside Ctr. (GEO) ,41,,
Arizona,,,,
,Marana Comm. Corr. Treatment Fac.,494,,
California,,,,
,Golden State Modified Comm. Corr. Fac. (GEO)/a,567,,
,La Cienega Work Furlough Program (VOA) ,50,,
Colorado,,,,
,Arapahoe Comm. Treatment Ctr.,138,,
,Centennial Comm. Transition Ctr. ,101,,
,Corr. Alternatives Placement Svs.,30,,
,"Intervention Comm. Corr. Svs. - Lakewood/a,b",230,,
Connecticut,,,,
,Sierra Ctr. Work Release (The Connection),26,,
,Watkinson House,39,,
District of Columbia,,,,
,Hope Village (CCC) ,277,,
Florida,,,,
,Bridges of Pompano - Turning Point W.R.C. (BOA) ,206,,
,Broward Transitional Ctr. (GEO),629,,
,"Comm. Corr. Ctr. (Spectrum Programs, Inc.) ",72,,
,Moore Haven Corr. Fac. (CCA) ,978,,
,"Pompano Transit Ctr., Male (FL DOC)",180,,
,The Salvation Army ,56,,
Illinois,,,,
,Crossroads Adult Transitional Ctr./a,325,,
,North Lawndale Adult Transition Ctr. (Safer Foundation),197,,
,Substance Abuse Svs. (The H Group) ,52,,
Indiana,,,,
,Marion Co. Jail II (CCA) ,"1,033",,
Kansas,,,,
,Grossman Ctr. (GEO),90,,
Kentucky,,,,
,Paducah Comm. Svs. Ctr.,85,,
,"York Street House (Transitions, Inc.)",9,,
Louisiana,,,,
,Catahoula Corr. Ctr. (LaSalle Southwest Corr.) ,812,,
,St. Martin DePorres Res. Ctr. (Cinc Inc.),170,,
Maryland,,,,
,"Threshold, Inc.",30,,
Michigan,,,,
,Monica House (CTC) ,54,,
Mississippi,,,,
,East Mississippi Corr. Fac. (GEO),"1,332",,
Missouri,,,,
,Dismas House - St. Louis (DC),180,,
Montana,,,,
,"Comm. Counseling & Corr. Svs., Inc. (CCCS) ",178,,
,"Great Falls Pre-Release Svs., Inc. ",241,,
New Jersey,,,,
,Bo Robinson Assessment & Treatment Ctr. (EHCA & CEC)/a,693,,
,Kintock,432,,
,Millicent Fenwick House (NJAC) ,49,,
,Talbot Hall (EHCA & CEC) ,510,,
,Tully House (EHCA & CEC) ,336,,
New Mexico,,,,
,Valencia Co. Det. Ctr. ,163,,
North Carolina,,,,
,"Salvation Army (CCC)/a,b",36,,
Ohio,,,,
,Canton Comm. Treatment & Corr. Ctr.,44,,
,Columbiana Co. (CEC) ,121,,
,"Comm. Corr. Assn., Inc.",153,,
,Mansfield Corr. Program (VOA),120,,
,North Coast Corr. Treatment Fac. (MTC) ,690,,
Oklahoma,,,,
,"Avalon Corr. Ctr. (Avalon Corr. Svs., Inc.)/a,b",247,,
,"Ctr. Point, Inc./a,b",154,,
South Dakota,,,,
,"Comm. Alcohol Drug Ctr., Stepping Stone",17,,
Tennessee,,,,
,"Dismas House - Nashville (DC)/a,b",52,,
Texas,,,,
,Bartlett State Jail (CCA),"1,044",,
,Big Spring Corr. Ctr. (GEO)/a,"3,493",,
,Billy M. Moore Corr. Ctr. (MTC),499,,
,Bradshaw State Jail (CCA),"1,963",,
,"Bridgeport Corr. Fac. (GEO, CCA)",520,,
,Bridgeport PPT (CCA) ,199,,
,Cleveland Corr. Ctr. (GEO) ,519,,
,"Crosspoint, Inc. ",115,,
,Dawson State Jail (CCA),"2,199",,
,Diboll Unit (MTC),518,,
,Estes Corr. Ctr. (MTC) ,"1,038",,
,Kyle Corr. Ctr. (MTC),519,,
,Limestone Co. (CEC)/a,749,,
,Lindsey State Jail (CCA) ,"1,026",,
,Lockhart Prison Work Program (GEO) ,498,,
,Mineral Wells PPT (CCA),"2,058",,
,Willacy Co. State Jail (CCA) ,"1,068",,
Utah,,,,
,Salt Lake City Reentry Ctr. (GEO),110,,
CCA - Corrections Corp. of America,,,,
"CCCS - Community Counseling & Corr. Services, Inc.   ",,,,
"CEC - Community Education Centers, Inc.",,,,
DC - Dismas Charities (operates as Diersen Charities in New Mexico and Tennessee),,,,
DOC - Department of Corrections,,,,
EHCA - Education & Health Centers of America,,,,
"GEO - The GEO Group, Inc.",,,,
MTC - Management & Training Corp.,,,,
VOA - Volunteers of America,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2011.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
