Bureau of Justice Statistics,,
Filename: ssvacf0911t15.csv,,
"Table 15. Privately operated jail and prison authorities with no allegations of sexual victimization, 2009",,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,
"Data source: Survey of Sexual Violence, 2009",,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 1/8/14,,
,,
 ,,
"Table 15. Privately operated jail and prison authorities with no allegations of sexual victimization, 2009",,
Jurisdiction and facility,,Average daily population
,Total,"41,837"
Alaska,,
,"Parkview Ctr. (GEO)/a,b",112
Arizona,,
,Arizona State Prison - Florence West (GEO) ,741
,Arizona State Prison - Phoenix West (GEO)/a,496
,Marana Comm. Corr. Treatment Fac.,474
Arkansas,,
,City of Faith Comm. Corr. Ctr. ,76
California,,
,"Alhambra City Jail (GEO)/a,b",6
,Central Valley Modified Comm. Corr. Fac. (GEO) ,600
,"Corr. Alternatives, Inc./a,b",233
,Desert View Modified Comm. Corr. Fac. (GEO),628
,Golden State Modified Comm. Corr. Fac. (GEO) ,580
,"National Crossroads/a,b",65
,Taft Corr. Inst. (MTC) ,"2,340"
Colorado,,
,"Centennial Comm. Transition Ctr./a,b",89
,"ComCor Women’s Fac. (ComCor, Inc.)/a",328
,Independence House - Fillmore,41
,Independence House - South Federal ,90
,"Intervention Comm. Corr. Svs. - Lakewood/a,b,c",245
Connecticut,,
,Next Step,15
Florida,,
,"Bridges of Pompano - Turning Point WRC (BOA)/a,b",195
,Broward Transitional Ctr. (GEO),530
,Lake City Corr. Fac. (CCA)/a,897
,Moore Haven Corr. Fac. (GEO) ,980
,"Reality House/a,b",128
,Salvation Army Red Shield Lodge,57
Illinois,,
,Cornell Interventions Southwood (CCI),91
Kansas,,
,Grossman Ctr. (CCI),95
Kentucky,,
,"Portland - Louisville (DC)/a,b",220
,St. Ann’s - Louisville (DC)/a,66
Louisiana,,
,Catahoula Corr. Ctr. (LaSalle Southwest Corr.)/d,827
Michigan,,
,Monica House (CTC) ,55
Minnesota,,
,Prairie Corr. Fac. (CCA) ,191
Mississippi,,
,Marshall Co. Corr. Fac. (GEO) ,975
,Tallahatchie Co. Corr. Fac. (CCA),"2,572"
Nevada,,
,Las Vegas Comm. Corr. Ctr. (CCI) ,126
New Jersey,,
,"Bo Robinson Assessment & Treatment Ctr. (EHCA & CEC)/a,b",533
,Garrett House (VOA),40
,Hope Hall (VOA),165
,Kintock,615
,Talbot Hall (EHCA & CEC) ,466
New Mexico,,
,Cibola Co. Corr. Ctr. (CCA),"1,146"
,"Lea Co. Corr. Fac. (GEO)/a,b","1,226"
,Torrance Co. Det. Fac. (CCA) ,688
New York,,
,"Brooklyn Comm. Corr. Ctr. (GEO)/a,b",175
North Carolina,,
,The Ctr. for Comm. Transitions (ECO)/b,20
Ohio,,
,"Cliff Skeen CBCF for Women (Oriana House, Inc.)",19
,Mansfield Corr. Program (VOA),67
Oklahoma,,
,"Avalon Corr. Ctr. (Avalon Corr. Svs., Inc.)/a,b",250
,"Ctr. Point, Inc. ",170
,Great Plains Corr. Fac. (CCI),"1,889"
Tennessee,,
,South Central Corr. Ctr. (CCA) ,"1,625"
Texas,,
,Bartlett State Jail (CCA),"1,046"
,Big Spring Corr. Ctr. (GEO),"3,471"
,Billy M. Moore Corr. Ctr. (MTC),499
,Bradshaw State Jail (CCA),"1,968"
,"Bridgeport Corr. Fac. (GEO, CCA)",519
,Cleveland Corr. Ctr. (GEO) ,519
,Crystal City Corr. Ctr. (LaSalle Southwest Corr.),435
,Diboll Unit (MTC),518
,Estes Corr. Ctr. (MTC)/c,"1,038"
,Frio Co. (GEO) ,334
,Kyle Corr. Ctr. (MTC),480
,Leidel Comprehensive Sanction Ctr. (GEO) ,218
,Limestone Co. (CEC),744
,McCabe Ctr. (GEO),110
,Mineral Wells PPT (CCA),"2,036"
,"Reeves Co., Complex 2 (GEO)/a,b","1,763"
,Rolling Plains Corr. Fac. (Emerald Companies),518
,Willacy Co. State Jail (CCA) ,"1,068"
Wyoming,,
,Comm. Alternatives of Casper & Reentry Ctr. (CEC),295
CCA - Corrections Corp. of America,,
"CCCS - Community Counseling & Corr. Services, Inc.   ",,
"CCI - Cornell Companies, Inc.",,
"CEC - Community Education Centers, Inc.",,
DC - Dismas Charities (operates as Diersen Charities in New Mexico and Tennessee),,
DOC - Department of Corrections,,
EHCA - Education & Health Centers of America,,
"GEO - The GEO Group, Inc.",,
MTC - Management & Training Corp.,,
VOA - Volunteers of America,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,
c/Counts of staff sexual misconduct were based on substantiated allegations only.,,
d/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009.",,
