Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: ssvacf0911t16.csv,,,,,,,,,,,,,,
"Table 16. Allegations of sexual victimization reported by other correctional facility authorities, by type of victimization, 2011",,,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2011",,,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Table 16. Allegations of sexual victimization reported by other correctional facility authorities, by type of victimization, 2011",,,,,,,,,,,,,,
,,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
Jurisdiction and facility,,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,,Total,"16,996",6,1,,29,7,,18,1,,4,0
U.S. military,,,,,,,,,,,,,,
,,Total,"1,524",0,0,,3,2,,1,0,,0,0
,Office of Legal Policy - Air Force ,,49,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Army,,780,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Marines ,,140,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Navy,,555,0,0,,3,2,,1,0,,0,0
U.S. Immigration and Customs ,,,,,,,,,,,,,,
  Enforcement (ICE),,,,,,,,,,,,,,
,,Total,"14,669",6,1,,25,4,,16,0,,3,0
,Arizona,,,,,,,,,,,,,
,,ICE - Florence Svs. Processing Ctr.,342,1,1,,0,0,,0,0,,0,0
,California,,,,,,,,,,,,,
,,"ICE - El Centro Svs. Processing Ctr./a,b",480,0,0,,/,/,,0,0,,/,/
,,ICE - Mira Loma Det. Ctr.,"1,039",0,0,,0,0,,1,0,,0,0
,,ICE - San Diego Otay Det. Fac. ,"1,035",2,0,,3,0,,6,0,,3,0
,Colorado,,,,,,,,,,,,,
,,"ICE - Denver Contract Det. Fac./a,b",408,0,0,,/,/,,0,0,,/,/
,Florida,,,,,,,,,,,,,
,,ICE - Broward Transitional Ctr. (GEO),629,0,0,,0,0,,0,0,,0,0
,,ICE - Krome Svs. Processing Ctr. ,604,0,0,,9,0,,1,0,,0,0
,Georgia,,,,,,,,,,,,,
,,ICE - Stewart Det. Ctr.,"1,652",0,0,,3,0,,0,0,,0,0
,Louisiana,,,,,,,,,,,,,
,,ICE - LaSalle Det. Fac.,946,0,0,,0,0,,0,0,,0,0
,New Jersey,,,,,,,,,,,,,
,,ICE - Elizabeth Contract Det. Fac. ,265,1,0,,3,1,,1,0,,0,0
,New York,,,,,,,,,,,,,
,,ICE - Buffalo Fed. Det. Fac. ,617,0,0,,0,0,,0,0,,0,0
,Texas,,,,,,,,,,,,,
,,ICE - El Paso Svs. Processing Ctr. ,640,0,0,,1,0,,3,0,,0,0
,,ICE - Houston Contract Det. Fac. ,875,0,0,,2,0,,3,0,,0,0
,,ICE - Laredo Contract Det. Fac.,267,0,0,,0,0,,0,0,,0,0
,,ICE - Otero Co. Processing Ctr.,866,0,0,,0,0,,0,0,,0,0
,,ICE - Port Isabel Svs. Processing Ctr. ,"1,164",1,0,,1,0,,0,0,,0,0
,,"ICE - South Texas Det. Complex/a,b","1,665",0,0,,/,/,,1,0,,/,/
,Washington,,,,,,,,,,,,,
,,ICE - Tacoma Contract Det. Fac.,"1,175",1,0,,3,3,,0,0,,0,0
Jails in Indian country,,,,,,,,,,,,,,
,,Total,803,0,0,,1,1,,1,1,,1,0
,Arizona,,,,,,,,,,,,,
,,"Colorado River Indian Tribes Adult Det./a,b",60,0,0,,/,/,,0,0,,/,/
,,Gila River Dept. of Rehab. & Supervision - Adult,133,0,0,,0,0,,0,0,,1,0
,,"Navajo Dept. of Corr. - Kayenta/a,b",9,0,0,,/,/,,0,0,,/,/
,,San Carlos Dept. of Corr. & Rehab. - Adult & Juv. Det. ,140,0,0,,0,0,,0,0,,0,0
,,"Tohono O’odham Adult Det. Ctr./a,b",180,0,0,,/,/,,0,0,,0,0
,,White Mountain Apache Det. Ctr.,77,0,0,,0,0,,0,0,,0,0
,Idaho,,,,,,,,,,,,,
,,Fort Hall P.D. & Adult Det.,45,0,0,,0,0,,0,0,,0,0
,Nevada,,,,,,,,,,,,,
,,Eastern Nevada L.E. Adult Det. ,18,0,0,,0,0,,0,0,,0,0
,New Mexico,,,,,,,,,,,,,
,,"Jicarilla Dept. of Corr., Adult & Juv. ",30,0,0,,0,0,,0,0,,0,0
,South Dakota,,,,,,,,,,,,,
,,Rosebud Sioux Tribal P.D. & Adult Det.,56,0,0,,1,1,,1,1,,0,0
,Washington,,,,,,,,,,,,,
,,Spokane Adult Det. Ctr./a,5,0,0,,/,/,,0,0,,0,0
,Wisconsin,,,,,,,,,,,,,
,,"Menominee Tribal Det. Fac./c,d",50,0,0,,/,/,,0,0,,/,/
/ Not reported.,,,,,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,,
c/Agency did not record allegations of abusive sexual contact.,,,,,,,,,,,,,,
d/Agency did not record allegations of staff sexual harassment.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2011.",,,,,,,,,,,,,,
