Bureau of Justice Statistics,,,,,,,,
Filename: ssvacf1218stat01.csv,,,,,,,,
"Appendix table 1. Standard errors for table 1: Allegations and substantiated incidents of sexual victimization, by type of adult correctional facility, 2012-2018",,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2012-2018",,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 6/2/2021,,,,,,,,
,,,,,,,,
"Appendix table 1. Standard errors for table 1: Allegations and substantiated incidents of sexual victimization, by type of adult correctional facility, 2012-2018",,,,,,,,
Type of facility,,2018,2017,2016,2015,2014,2013,2012
,Total allegations,494,378,375,206,214,215,106
Prisons,,282,64,92,75,51,55,14
,Private,282,64,92,75,51,55,14
Jails,,406,373,363,192,208,208,105
Other adult facilities,,14,10,3,0,3,0,0
,Total substantiated incidents,67,55,51,40,61,44,27
Prisons,,53,16,19,0,37,21,9
,Private,53,16,19,0,37,21,9
Jails,,41,52,48,40,48,39,25
Other adult facilities,,3,1,0,0,:,0,0
:Not calculated.,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2012-2018.",,,,,,,,
