Bureau of Justice Statistics,
Filename: ssvacf1218stf01.csv,
"Figure 1. Allegations of sexual victimization, by type of adult correctional facility, 2018",
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2018",
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of version: 6/2/2021,
,
"Figure 1. Allegations of sexual victimization, by type of adult correctional facility, 2018",
Type of facility,Number of allegations
Total allegations,"27,826"
Prisons/a,"18,884"
Jails/b,"8,651"
Other adult facilities/c,291
Note: Excludes inmate-on-inmate sexual harassment. See table 1 for estimates and appendix table 1 for standard errors.,
"a/Includes privately operated prisons, state-operated facilities that are intended for adults but sometimes hold juveniles, and facilities that are operated by the Federal Bureau of Prisons.",
b/Includes local and private jails.,
"c/Includes military prisons, dedicated U.S. Immigration and Customs Enforcement facilities, and Indian country jails. Excludes Indian country jails that house only juveniles.",
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2018.",
