Bureau of Justice Statistics,,,,
Filename: ssvacf1218stt03.csv,,,,
"Table 3. Allegations and substantiated incidents of inmate-on-inmate sexual harassment, by type of adult correctional facility, 2013-15",,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015",,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 6/2/2021,,,,
,,,,
"Table 3. Allegations and substantiated incidents of inmate-on-inmate sexual harassment, by type of adult correctional facility, 2013-15",,,,
Type of facility ,,,Alleged,Substantiated
,Total,,"15,810","2,412"
Prisons,,,"10,000","1,187"
,Public/a,,"9,411","1,129"
,,Federal ,158,8
,,State,"9,253","1,121"
,Private,,588,58
Jails/b,,,"5,671","1,196"
Other adult facilities/c,,,140,29
Note: Details may not sum to totals due to rounding. Data may have been revised from previously published statistics. See appendix table 3 for standard errors. ,,,,
a/Includes state-operated facilities that are intended for adults but sometimes hold juveniles and facilities that are operated by the Federal Bureau of Prisons.,,,,
b/Includes local and private jails.,,,,
"c/Includes military prisons, dedicated U.S. Immigration and Customs Enforcement facilities, and Indian country jails. Excludes Indian country jails that house only juveniles.",,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015.",,,,
