Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt06.csv,,,,,,,,,,
"Table 6. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2016",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 6. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2016",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction,,Prisoners in custody on 12/31/2016/a,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"1,288,810","3,324",170,"3,023",274,"6,181",360,"5,251",114
Federal,,"154,152",122,4,114,11,251,3,212,2
State,,"1,134,658","3,202",166,"2,909",263,"5,930",357,"5,039",112
,Alabama,"23,397",196,48,65,20,73,5,65,0
,Alaska,"4,338",9,0,15,1,6,0,16,0
,Arizona,"33,891",67,2,56,1,94,6,20,1
,Arkansas,"15,833",4,2,33,16,44,17,35,4
,California,"122,411",271,4,134,5,217,5,170,4
,Colorado,"15,803",34,1,48,3,51,21,7,3
,Connecticut,"14,532",34,1,44,3,37,1,10,1
,Delaware,"6,334",55,1,24,3,35,1,75,0
,Florida,"85,834",398,7,140,0,392,8,118,0
,Georgia/b,"40,394",0,0,336,14,443,14,741,10
,Hawaii,"3,777",26,3,19,5,21,8,9,0
,Idaho,"6,801",15,3,6,2,6,2,3,0
,Illinois,"43,616",114,3,145,18,143,3,308,8
,Indiana,"24,917",38,3,58,7,57,9,91,5
,Iowa,"9,049",31,5,28,5,23,5,17,1
,Kansas,"9,653",31,1,45,7,51,3,147,4
,Kentucky,"11,863",68,3,51,6,176,21,192,5
,Louisiana,"15,059",33,2,14,1,314,6,87,0
,Maine,"2,356",9,1,24,3,9,3,7,0
,Maryland,"20,211",43,0,11,0,70,0,81,0
,Massachusetts,"8,943",15,3,20,3,34,1,15,2
,Michigan,"41,122",83,4,86,14,206,19,858,14
,Minnesota,"9,509",15,2,5,0,10,1,4,0
,Mississippi,"10,642",67,0,5,0,23,4,14,0
,Missouri,"32,427",160,13,141,16,235,20,331,13
,Montana,"1,718",18,4,2,0,23,0,18,1
,Nebraska,"5,167",8,0,11,0,29,4,15,1
,Nevada/b,"13,812",/,/,74,0,132,1,134,1
,New Hampshire,"2,599",13,0,6,1,6,1,3,0
,New Jersey,"16,738",9,0,27,1,32,6,13,0
,"New Mexico/c,d","3,892",8,1,/,/,82,8,/,/
,New York,"50,611",71,0,25,3,244,5,99,0
,North Carolina,"35,940",39,3,150,12,318,26,129,6
,North Dakota,"1,379",0,0,4,0,9,2,6,1
,Ohio,"45,913",166,7,104,4,88,12,32,0
,Oklahoma,"19,218",38,3,4,1,37,16,11,2
,Oregon,"14,579",13,0,37,4,34,3,23,2
,Pennsylvania,"47,607",185,4,203,20,626,7,494,7
,Rhode Island,"2,887",9,1,10,2,1,0,0,0
,South Carolina/c,"20,364",78,6,/,/,29,0,32,1
,South Dakota,"3,736",15,0,18,1,16,0,25,2
,Tennessee,"14,106",8,0,34,3,77,15,94,3
,Texas,"137,584",299,2,348,11,897,25,53,2
,Utah,"4,500",6,4,12,3,1,1,1,0
,Vermont,"1,471",7,0,22,6,25,2,9,1
,Virginia,"29,752",14,1,19,4,77,3,143,1
,Washington,"17,228",232,10,97,9,155,15,73,3
,West Virginia,"5,899",68,0,41,1,77,8,97,1
,Wisconsin,"23,163",76,8,86,15,136,12,106,1
,Wyoming,"2,083",6,0,22,9,9,2,8,1
Note: Excludes the District of Columbia. See Terms and definitions for information on types of victimization.,,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on the 2016 National Prisoner Statistics data collection.,,,,,,,,,,
b/Allegations of nonconsensual sexual acts were not recorded.,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
d/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct. ,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016.",,,,,,,,,,
