Bureau of Justice Statistics,,,,,,,,,
Filename: ssvacf1218stt11.csv,,,,,,,,,
"Table 11. Inmate-on-inmate sexual harassment reported by federal and state prison authorities, 2016-2018",,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018",,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,
,,,,,,,,,
"Table 11. Inmate-on-inmate sexual harassment reported by federal and state prison authorities, 2016-2018",,,,,,,,,
,,Total,,2018,,2017,,2016,
Jurisdiction,,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"14,945","1,513","5,018",525,"4,835",484,"5,092",504
Federal,,381,33,147,11,136,12,98,10
State,,"14,564","1,480","4,871",514,"4,699",472,"4,994",494
,Alabama,262,20,55,6,35,0,172,14
,Alaska,60,13,25,6,19,5,16,2
,Arizona,139,2,58,1,29,0,52,1
,Arkansas,95,42,29,20,30,9,36,13
,California,340,17,127,9,110,2,103,6
,Colorado,86,8,26,3,32,2,28,3
,Connecticut,73,6,26,3,19,2,28,1
,Delaware,108,2,44,1,54,1,10,0
,Florida,411,8,99,2,115,5,197,1
,Georgia,"1,409",60,417,17,511,18,481,25
,Hawaii,63,19,28,11,16,6,19,2
,Idaho,84,22,69,13,10,7,5,2
,Illinois,"1,379",154,567,73,504,46,308,35
,Indiana,217,21,76,8,61,5,80,8
,Iowa,286,80,85,22,138,42,63,16
,Kansas,244,34,48,5,74,12,122,17
,Kentucky,543,56,155,16,209,19,179,21
,Louisiana,69,3,21,1,14,0,34,2
,Maine,56,15,16,5,27,5,13,5
,Maryland,80,0,14,0,31,0,35,0
,Massachusetts,123,24,60,10,27,6,36,8
,Michigan,724,71,292,25,215,26,217,20
,Minnesota/a,/,/,/,/,/,/,/,/
,Mississippi,125,2,26,1,50,0,49,1
,Missouri,628,84,209,33,226,30,193,21
,Montana,99,17,56,13,18,1,25,3
,Nebraska,44,9,13,2,5,2,26,5
,Nevada,275,31,91,8,92,15,92,8
,New Hampshire,16,7,8,5,3,1,5,1
,New Jersey,73,7,32,4,25,2,16,1
,New Mexico,21,6,10,3,1,1,10,2
,New York,58,1,22,0,11,0,25,1
,North Carolina,489,57,103,13,203,22,183,22
,North Dakota,47,20,10,3,14,9,23,8
,Ohio,230,54,43,13,62,16,125,25
,Oklahoma,43,2,15,1,20,1,8,0
,Oregon,380,46,138,9,127,13,115,24
,Pennsylvania,"1,107",120,384,41,348,44,375,35
,Rhode Island,90,24,39,9,41,11,10,4
,South Carolina,136,7,67,2,9,0,60,5
,South Dakota,219,21,73,11,66,2,80,8
,Tennessee,157,10,53,5,56,4,48,1
,Texas,"1,595",33,550,15,531,11,514,7
,Utah,23,11,10,3,7,5,6,3
,Vermont,77,22,19,3,29,11,29,8
,Virginia,388,23,167,7,112,8,109,8
,Washington,603,63,217,22,190,17,196,24
,West Virginia,185,8,21,1,49,4,115,3
,Wisconsin,577,108,149,27,118,23,310,58
,Wyoming,28,10,9,3,6,1,13,6
Note: Excludes the District of Columbia.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Allegations of inmate-on-inmate sexual harassment were not recorded. ,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018.",,,,,,,,,
