Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt13.csv,,,,,,,,,,
"Table 13. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2018",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics Survey of Sexual Victimization, 2018; and Mortality in Correctional Institutions, 2017",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 13. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2018",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"289,719","1,242",59,964,102,"1,043",26,745,17
Alabama,,,,,,,,,,
,Jefferson Co.,700,0,0,0,0,0,0,0,0
,Mobile Co.,920,0,0,0,0,0,0,0,0
Alaska,,,,,,,,,,
,Kodiak City,15,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,
,Maricopa Co./a,"7,326",130,1,/,/,29,0,87,2
,Pima Co./a,"1,860",20,4,/,/,7,1,7,0
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,"1,071",3,1,3,0,4,1,5,0
California,,,,,,,,,,
,Alameda Co.,"2,053",9,0,14,2,3,0,2,0
,Contra Costa Co.,"1,382",18,0,1,1,1,0,1,0
,"Fresno Co./a,b","2,950",27,0,/,/,1,0,/,/
,Kern Co.,"1,996",18,0,15,7,7,0,3,0
,Los Angeles Co./a,"16,910",0,0,/,/,0,0,/,/
,Orange Co.,"6,413",6,0,17,0,1,0,0,0
,Riverside Co.,"3,527",13,1,12,3,3,0,0,0
,"Sacramento Co., Main Jail","1,971",23,1,18,0,8,0,3,0
,"Sacramento Co., Rio Cosumnes Corr. Ctr./a","1,681",10,0,14,1,1,0,2,0
,San Bernardino Co.,"6,145",58,0,6,0,17,0,11,0
,San Diego Co.,"5,541",12,0,13,0,3,0,1,0
,San Francisco/a,"1,240",0,0,/,/,0,0,0,0
,San Joaquin Co./a,"1,332",0,0,/,/,0,0,0,0
,San Mateo Co.,988,11,0,0,0,15,0,0,0
,Santa Barbara Co.,"1,101",8,1,7,2,17,0,10,0
,Santa Clara Co.,"3,352",19,1,29,0,13,0,8,0
,Sonoma Co.,"1,083",5,1,4,2,9,1,5,0
,Stanislaus Co.,"1,114",3,1,1,0,3,0,2,0
,Tulare Co.,"1,540",2,0,4,0,0,0,0,0
,Ventura Co.,"1,493",1,1,2,0,0,0,0,0
Colorado,,,,,,,,,,
,Adams Co.,"1,041",0,0,0,0,1,1,0,0
,Arapahoe Co.,"1,073",8,1,1,0,0,0,0,0
,Denver,"2,109",19,0,9,1,35,0,23,0
,El Paso Co.,"1,560",0,0,8,0,4,0,4,0
,Jefferson Co./b,"1,330",11,1,1,1,5,1,/,/
District of Columbia,,"2,032",17,0,4,0,10,1,33,1
Florida,,,,,,,,,,
,Bay Co.,"1,094",12,2,0,0,0,0,1,0
,Brevard Co.,"1,698",2,0,7,0,0,0,0,0
,Broward Co.,"3,579",8,1,11,0,24,0,47,0
,Escambia Co.,"1,676",12,1,2,2,0,0,1,0
,Hillsborough Co./a,"3,148",10,0,/,/,2,0,1,0
,"Jacksonville/a,b","3,004",32,0,0,0,0,0,0,0
,Lee Co.,"1,844",0,0,4,0,1,0,5,0
,Leon Co.,"1,130",3,0,0,0,2,0,1,0
,Manatee Co./a,"1,038",7,1,0,0,3,0,1,0
,Marion Co.,"1,360",1,0,12,1,2,0,0,0
,Miami-Dade Co. Corr. and Rehab.,"4,304",3,0,3,0,13,0,2,0
,Orange Co.,"2,638",12,0,11,3,8,0,5,0
,Palm Beach Co./a,"2,021",42,1,3,3,21,1,8,0
,Pasco Co.,"1,737",0,0,6,2,5,0,2,0
,Pinellas Co.,"2,975",4,0,20,2,20,0,3,0
,Polk Co.,"2,586",12,0,9,0,2,1,2,0
,St. Lucie Co.,"1,283",1,0,10,1,4,0,2,0
,Volusia Co.,"1,438",4,0,3,0,1,0,0,0
Georgia,,,,,,,,,,
,Chatham Co. Adult Det. Ctr.,"1,694",2,2,0,0,0,0,0,0
,Clayton Co.,"1,360",0,0,0,0,0,0,0,0
,Cobb Co.,"2,040",0,0,0,0,0,0,0,0
,Dekalb Co./a,"2,250",11,1,/,/,0,0,0,0
,"Fulton Co./a,b","2,325",0,0,/,/,0,0,/,/
,Gwinnett Co.,"2,256",11,0,7,1,10,0,1,0
,Muscogee Co. Jail,"1,096",29,0,29,0,1,0,0,0
Idaho,,,,,,,,,,
,Ada Co.,"1,093",0,0,41,5,3,0,3,0
Illinois,,,,,,,,,,
,Cook Co.,"1,306",24,1,7,0,29,0,13,0
Indiana,,,,,,,,,,
,Marion Co.,"1,032",0,0,13,0,0,0,7,0
Iowa,,,,,,,,,,
,Polk Co.,"1,002",0,0,6,1,4,0,7,1
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,167",1,0,12,2,7,0,13,0
Kentucky,,,,,,,,,,
,Lexington Fayette Urban Co.,"1,500",3,0,7,0,5,0,0,0
,Louisville Metropolitan,"1,620",50,3,23,1,11,0,6,2
Louisiana,,,,,,,,,,
,Bossier Parish,"1,511",2,0,2,0,3,0,0,0
,Caddo Parish,"1,280",7,1,1,1,1,0,1,0
,Calcasieu Parish,"1,139",3,1,4,3,1,1,1,0
,East Baton Rouge Parish/c,"1,150",12,0,0,0,0,0,0,0
,East Carroll Parish/c,"1,364",/,/,/,/,/,/,/,/
,Orleans Parish,"1,324",12,0,6,0,12,1,20,0
,Rapides Parish,"1,100",0,0,0,0,0,0,0,0
,St. Tammany Parish,"1,041",4,0,0,0,1,0,0,0
Maine,,,,,,,,,,
,York Co./c,200,/,/,/,/,/,/,/,/
Maryland,,,,,,,,,,
,Baltimore City Det. Ctr.,"2,099",6,0,0,0,2,0,0,0
,Baltimore Co.,"1,123",3,1,9,1,8,0,5,0
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,013",2,0,3,2,3,0,2,0
,Essex Co.,"1,413",4,0,6,0,5,0,1,0
,Hampden Co. Corr. Ctr.,"1,137",0,0,34,4,2,0,4,0
,Plymouth Co./a,995,7,1,/,/,5,0,4,0
,Suffolk Co. House of Corr.,905,27,0,9,0,20,0,6,0
,Worcester Co.,945,2,0,1,0,0,0,4,0
Michigan,,,,,,,,,,
,Kent Co.,"1,120",2,0,3,0,4,0,2,0
,Macomb Co.,"1,121",7,0,1,0,1,1,0,0
,Oakland Co.,"1,507",6,0,5,1,9,0,8,0
,Wayne Co.,"1,879",5,0,10,0,0,0,0,0
Minnesota,,,,,,,,,,
,Hennepin Co.,761,2,0,1,0,10,0,1,0
Mississippi,,,,,,,,,,
,Harrison Co.,809,0,0,0,0,0,0,0,0
Missouri,,,,,,,,,,
,St. Louis City,"1,201",0,0,0,0,0,0,0,0
,St. Louis Co./a,"1,203",7,1,/,/,2,0,5,0
Montana,,,,,,,,,,
,"Yellowstone Co./a,b",503,1,0,/,/,2,0,/,/
Nebraska,,,,,,,,,,
,Douglas Co./a,"1,240",0,0,/,/,0,0,0,0
Nevada,,,,,,,,,,
,Clark Co.,"3,694",18,3,9,2,30,0,2,0
,Washoe Co.,"1,136",3,0,3,0,6,0,4,1
New Hampshire,,,,,,,,,,
,Hillsborough Co.,400,2,0,3,0,2,0,0,0
New Jersey,,,,,,,,,,
,Camden Co./b,947,5,0,0,0,3,0,1,0
,Essex Co.,"2,305",2,0,8,1,4,0,0,0
,Hudson Co.,"1,245",0,0,7,1,1,0,10,0
New Mexico,,,,,,,,,,
,Bernalillo Co.,"1,240",0,0,0,0,0,0,0,0
New York,,,,,,,,,,
,Monroe Co.,"1,128",2,0,2,0,2,0,2,0
,New York City,"8,397",58,6,79,2,206,3,21,1
,Westchester Co./a,"1,034",0,0,/,/,15,0,57,0
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"1,545",13,0,2,1,9,1,8,0
,Wake Co.,"1,224",1,0,2,0,11,0,0,0
North Dakota,,,,,,,,,,
,Cass Co.,255,2,2,1,0,4,0,1,0
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,349",3,0,15,1,16,0,11,1
,Franklin Co.,"1,901",16,0,2,0,4,0,0,0
,Hamilton Co.,"1,595",1,0,1,0,0,0,0,0
Oklahoma,,,,,,,,,,
,Tulsa Co.,"1,456",13,1,17,2,12,0,0,0
Oregon,,,,,,,,,,
,Malheur Co./c,"1,917",/,/,/,/,/,/,/,/
,Multnomah Co.,"1,075",3,0,1,0,9,0,1,0
Pennsylvania,,,,,,,,,,
,Allegheny Co.,"2,260",4,4,6,1,9,0,16,2
,Berks Co.,"1,104",0,0,17,3,8,0,10,0
,Bucks Co.,"1,157",4,1,2,0,6,0,8,0
,Dauphin Co.,"1,065",2,0,3,1,2,0,2,0
,Lehigh Co./a,"1,104",1,0,/,/,3,0,1,0
,Montgomery Co.,"1,832",0,0,13,0,17,0,16,0
,Philadelphia Prison System,"5,269",13,0,14,1,27,0,13,0
,York Co.,"2,093",3,3,11,4,17,0,19,2
South Carolina,,,,,,,,,,
