Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt15.csv,,,,,,,,,,
"Table 15. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2016",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics Survey of Sexual Victimization, 2016",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 15. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2016",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"295,405","1,134",67,986,99,"1,138",29,710,28
Alabama,,,,,,,,,,
,Jefferson Co./a,974,0,0,/,/,0,0,/,/
Alaska,,,,,,,,,,
,Kodiak City,20,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,
,Maricopa Co.,"7,410",75,12,53,5,65,1,12,0
,Pima Co./b,"1,860",11,0,/,/,12,0,/,/
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,"1,197",0,0,1,1,8,2,7,0
California,,,,,,,,,,
,Alameda Co.,"2,499",6,0,2,0,15,0,10,0
,Contra Costa Co.,"1,426",1,0,3,0,2,0,0,0
,Fresno Co.,"2,769",10,0,6,0,1,0,0,0
,Kern Co.,"2,515",9,1,17,2,6,0,0,0
,Los Angeles Co.,"16,613",46,0,24,3,2,0,0,0
,Orange Co.,"6,087",6,1,9,2,0,0,0,0
,Riverside Co.,"3,601",3,0,4,0,2,0,0,0
,"Sacramento Co., Main Jail/b","1,850",35,1,/,/,13,0,1,1
,"Sacramento Co., Rio Cosumnes Corr. Ctr.","1,797",7,1,4,0,1,0,1,0
,San Bernardino Co.,"6,051",4,0,16,4,11,0,6,1
,San Diego Co.,"5,362",31,0,18,1,5,0,2,0
,San Francisco,"1,309",14,1,0,0,6,0,2,0
,San Joaquin Co./b,"1,322",8,1,/,/,0,0,0,0
,Santa Barbara Co./b,"1,194",24,0,/,/,0,0,1,0
,Santa Clara Co.,"3,546",12,1,6,2,11,0,6,0
,Sonoma Co.,"1,075",3,0,4,0,14,0,2,0
,Stanislaus Co.,"1,225",6,0,2,0,3,0,0,0
,Tulare Co.,"1,571",2,1,0,0,0,0,0,0
,Ventura Co.,"1,650",0,0,0,0,1,0,0,0
Colorado,,,,,,,,,,
,Arapahoe Co.,"1,002",3,0,8,1,18,0,1,0
,Denver,"2,053",19,0,22,5,27,0,24,2
,El Paso Co.,"1,628",10,0,3,1,7,0,1,1
,Jefferson Co.,"1,253",6,0,8,3,10,0,0,0
District of Columbia,,"1,345",21,1,45,1,11,0,25,1
Florida,,,,,,,,,,
,Bay Co.,38,3,0,4,1,2,0,0,0
,Brevard Co.,"1,541",4,0,0,0,1,1,0,0
,Broward Co.,"4,073",3,0,6,0,2,0,1,0
,Escambia Co.,"1,668",2,1,3,0,0,0,0,0
,Hillsborough Co.,"2,994",4,0,1,0,2,0,0,0
,Jacksonville,"3,170",11,0,1,1,4,0,0,0
,Lee Co.,"1,655",6,1,2,1,0,0,0,0
,Leon Co.,"1,070",4,0,2,1,3,0,2,0
,Manatee Co.,"1,083",0,0,3,0,6,1,1,0
,Marion Co.,"1,123",4,1,1,0,1,0,2,0
,Miami-Dade Co. Corr. and Rehab.,"4,130",6,0,3,1,14,0,2,1
,Orange Co.,"2,641",3,0,10,2,5,1,6,0
,Palm Beach Co.,"2,082",19,0,17,2,4,0,8,1
,Pasco Co.,"1,571",11,1,0,0,1,0,0,0
,Pinellas Co.,"2,752",1,1,7,0,6,0,8,0
,Polk Co.,"2,520",9,1,3,0,1,0,1,0
,St. Lucie Co.,"1,245",11,0,2,0,0,0,0,0
,Volusia Co.,"1,330",1,0,4,0,2,0,0,0
Georgia,,,,,,,,,,
,Chatham Co. Adult Det. Ctr.,"1,630",0,0,0,0,8,2,4,0
,Clayton Co.,"1,092",0,0,0,0,0,0,0,0
,Cobb Co.,"1,873",6,0,10,0,4,0,2,0
,Dekalb Co./c,"1,936",6,2,/,/,1,1,0,0
,"Fulton Co./a,b","2,480",2,0,/,/,0,0,/,/
,Gwinnett Co.,"1,983",2,0,0,0,2,1,0,0
,Muscogee Co. Jail,"1,010",9,0,9,0,2,1,0,0
Idaho,,,,,,,,,,
,Ada Co.,921,7,0,22,2,3,0,2,0
Illinois,,,,,,,,,,
,Cook Co.,"8,082",17,7,20,1,20,0,11,0
Indiana,,,,,,,,,,
,Marion Co.,"1,100",0,0,0,0,0,0,0,0
Iowa,,,,,,,,,,
,Polk Co.,924,1,0,18,3,9,1,12,0
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,226",3,0,7,4,11,1,4,0
Kentucky,,,,,,,,,,
,Lexington Fayette Urban Co./b,"1,338",10,2,/,/,4,0,1,0
,Louisville Metropolitan,"1,993",23,0,33,4,18,0,14,0
Louisiana,,,,,,,,,,
,"Avoyelles Parish/a,b",967,3,0,/,/,0,0,/,/
,Bossier Parish,"1,422",4,0,5,2,2,0,6,0
,"Caddo Parish/a,b","1,000",0,0,/,/,0,0,/,/
,Calcasieu Parish,"1,248",0,0,3,3,1,1,0,0
,East Baton Rouge Parish/b,"1,427",17,0,/,/,3,0,1,0
,"East Carroll Parish/a,b","1,120",0,0,/,/,0,0,/,/
,Orleans Parish,"1,645",6,1,7,0,3,0,17,0
,Ouachita Parish,970,1,0,1,0,0,0,0,0
,Rapides Parish,"1,154",0,0,0,0,3,0,0,0
,St. Tammany Parish,"1,081",0,0,0,0,0,0,0,0
Maine,,,,,,,,,,
,Cumberland Co.,480,1,1,1,0,1,0,0,0
Maryland,,,,,,,,,,
,Baltimore City Det. Ctr.,"2,103",7,0,2,0,9,1,2,0
,Baltimore Co.,"1,204",1,0,8,0,1,0,1,0
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,294",7,2,6,0,3,2,0,0
,Essex Co./b,"1,499",18,1,/,/,3,0,4,0
,Hampden Co. Corr. Ctr.,"1,460",0,0,18,2,3,0,0,0
,Middlesex Co.,"1,193",1,0,2,0,9,1,10,1
,Plymouth Co.,"1,100",3,1,2,0,6,0,3,0
,Worcester Co.,"1,113",3,0,9,0,6,0,2,0
Michigan,,,,,,,,,,
,Macomb Co./b,"1,170",10,0,/,/,2,0,0,0
,Oakland Co.,"1,507",5,2,1,1,1,0,1,0
,Wayne Co.,"1,946",5,0,3,0,3,0,0,0
Minnesota,,,,,,,,,,
,"Hennepin Co./a,b",718,3,0,/,/,4,0,/,/
Mississippi,,,,,,,,,,
,Hinds Co.,635,0,0,0,0,0,0,0,0
Missouri,,,,,,,,,,
,St. Louis City,"1,368",0,0,0,0,0,0,0,0
,St. Louis Co.,"1,320",0,0,0,0,0,0,6,2
Montana,,,,,,,,,,
,Yellowstone Co.,497,3,0,0,0,1,0,1,0
Nebraska,,,,,,,,,,
,"Douglas Co./b,c","1,207",22,1,/,/,2,0,0,0
Nevada,,,,,,,,,,
,Clark Co.,"3,645",27,0,4,3,19,0,4,1
,Washoe Co.,"1,004",0,0,6,2,2,0,1,0
New Hampshire,,,,,,,,,,
,Hillsborough Co.,472,0,0,0,0,0,0,0,0
New Jersey,,,,,,,,,,
,Camden Co.,33,2,0,0,0,1,0,0,0
,Essex Co.,"2,986",4,1,4,1,2,0,1,0
,Hudson Co./a,"1,530",0,0,0,0,0,0,/,/
New Mexico,,,,,,,,,,
,Bernalillo Co.,"1,316",12,3,3,1,23,1,9,3
New York,,,,,,,,,,
,Erie Co.,"1,182",3,0,1,0,6,1,1,0
,"Nassau Co./a,b","1,165",0,0,/,/,0,0,/,/
,New York City,"9,759",52,1,80,0,272,0,130,1
,Suffolk Co.,"1,250",1,0,2,0,6,0,3,0
,Westchester Co./b,"1,041",1,0,/,/,9,0,32,0
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"1,785",5,0,4,2,13,0,9,1
,"Scotland Co./b,d",127,0,0,/,/,0,0,0,0
,Wake Co.,"1,179",0,0,0,0,2,0,1,0
North Dakota,,,,,,,,,,
,Cass Co.,301,2,0,3,2,2,0,2,1
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,152",4,0,15,1,11,0,7,2
,Franklin Co.,"2,054",24,2,0,0,1,0,0,0
,Hamilton Co.,"1,400",0,0,0,0,0,0,0,0
Oklahoma,,,,,,,,,,
,Oklahoma Co.,"2,397",17,0,5,0,1,0,0,0
,Tulsa Co.,"1,553",5,2,13,0,8,1,0,0
Oregon,,,,,,,,,,
,Multnomah Co.,"1,152",0,0,1,0,18,0,4,0
Pennsylvania,,,,,,,,,,
,Allegheny Co.,"2,242",4,0,0,0,4,1,4,0
,Berks Co.,"1,024",0,0,8,1,6,0,2,0
,Bucks Co.,"1,190",2,0,2,2,4,0,6,1
,Dauphin Co.,"1,036",2,0,3,0,8,0,5,1
,Lackawanna Co.,975,1,0,3,1,7,1,5,0
,Lehigh Co.,"1,207",2,0,1,0,1,0,0,0
,Montgomery Co.,"2,300",56,0,28,0,18,0,14,0
,Philadelphia Prison System,"7,399",3,1,44,0,32,0,3,0
