Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt16.csv,,,,,,,,,,
"Table 16. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2015",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2015",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 16. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2015",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"316,532","1,144",59,757,121,843,34,426,17
Alabama,,,,,,,,,,
,"Jefferson Co./a,b",767,0,0,/,/,0,0,/,/
Alaska,,,,,,,,,,
,Kodiak City,28,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,
,Maricopa Co.,"7,911",49,0,22,4,35,3,31,2
,Pima Co.,"1,838",0,0,0,0,0,0,0,0
,Pinal Co.,861,6,0,2,0,0,0,0,0
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,"1,334",1,1,1,1,1,1,0,0
California,,,,,,,,,,
,Alameda Co.,"2,380",6,0,3,0,10,0,4,0
,Contra Costa Co.,"1,393",0,0,0,0,1,0,0,0
,Fresno Co.,"2,537",6,0,7,1,0,0,0,0
,Kern Co.,"3,015",7,1,13,4,2,0,2,0
,Los Angeles Co./b,"17,054",20,0,33,1,3,1,/,/
,Orange Co.,"6,676",5,0,17,1,1,0,1,0
,Riverside Co.,"3,672",8,3,6,1,1,0,0,0
,"Sacramento Co., Main Jail","2,061",5,0,2,1,2,1,0,0
,"Sacramento Co., Rio Cosumnes Corr. Ctr.","1,986",4,0,2,0,0,0,0,0
,San Bernardino Co.,"5,878",10,2,7,5,9,1,10,0
,San Diego Co.,"5,047",22,2,15,1,5,0,1,0
,San Francisco,"1,196",5,0,0,0,4,0,3,0
,San Joaquin Co.,"1,216",2,0,1,0,2,0,0,0
,San Mateo Co.,853,0,0,0,0,0,0,0,0
,"Santa Barbara Co./a,b","1,115",20,1,/,/,0,0,/,/
,Santa Clara Co.,"3,637",2,1,4,0,6,0,5,0
,Sonoma Co.,992,2,0,1,1,5,0,0,0
,Stanislaus Co.,"1,098",3,0,3,0,1,0,1,0
,Tulare Co.,"1,516",0,0,0,0,2,0,0,0
,Ventura Co.,"1,622",0,0,2,2,1,0,0,0
Colorado,,,,,,,,,,
,Adams Co./a,941,1,0,/,/,0,0,0,0
,Arapahoe Co.,952,7,0,8,3,11,0,0,0
,Denver/a,"2,017",96,4,/,/,9,0,5,0
,El Paso Co.,"1,547",6,0,3,1,1,0,1,0
,Jefferson Co./b,"1,349",2,1,8,2,4,0,/,/
District of Columbia/a,,"1,193",21,2,/,/,18,0,19,0
Florida,,,,,,,,,,
,Alachua Co.,818,1,0,1,0,1,0,1,0
,"Bay Co./a,b",987,2,0,/,/,0,0,/,/
,Brevard Co.,"1,508",3,1,1,0,0,0,0,0
,Broward Co.,"4,573",3,0,5,0,4,1,0,0
,Escambia Co./a,"1,276",2,2,/,/,0,0,0,0
,Hillsborough Co.,"2,817",5,0,1,1,2,0,0,0
,Jacksonville Co.,"3,403",7,1,5,4,2,0,0,0
,Lee Co.,"1,629",0,0,1,0,0,0,0,0
,Leon Co.,"1,061",5,0,1,0,1,0,0,0
,Manatee Co.,"1,042",1,0,9,3,1,0,2,0
,Marion Co.,"1,254",2,0,5,1,2,0,2,0
,Miami-Dade Co. Corr. & Rehab.,"3,781",7,0,13,0,8,0,0,0
,Orange Co.,"2,768",8,0,7,0,7,0,10,0
,Osceola Co.,861,0,0,8,0,6,0,2,0
,"Palm Beach Co./a,b","2,202",105,0,/,/,17,0,/,/
,Pasco Co.,"1,384",3,0,0,0,2,0,0,0
,Pinellas Co.,"2,796",6,0,18,3,11,0,8,0
,Polk Co.,"2,423",4,0,8,3,1,0,0,0
,St. Lucie Co.,"1,291",1,0,2,0,0,0,0,0
,Volusia Co.,"1,390",4,0,1,0,3,0,0,0
Georgia,,,,,,,,,,
,Chatham Co. Adult Det. Ctr.,"1,534",3,2,1,0,0,0,2,0
,Clayton Co.,"1,594",4,0,0,0,0,0,0,0
,Cobb Co.,"1,794",5,0,13,5,1,0,0,0
,Dekalb Co./a,"2,205",2,0,/,/,0,0,0,0
,"Fulton Co./a,b","2,540",10,2,/,/,31,0,/,/
,Gwinnett Co.,"2,183",10,0,3,0,6,0,0,0
,Muscogee Co. Jail,"1,085",3,0,3,0,4,0,1,0
Idaho,,,,,,,,,,
,Ada Co.,903,2,0,9,2,1,0,0,0
Illinois,,,,,,,,,,
,Cook Co.,"8,515",13,1,7,2,9,0,16,1
Indiana,,,,,,,,,,
,Marion Co.,"1,075",0,0,0,0,0,0,0,0
Iowa,,,,,,,,,,
,Polk Co.,933,3,0,10,4,5,0,3,0
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,216",2,1,7,2,8,0,1,0
Kentucky,,,,,,,,,,
                                                                            ,Lexington Fayette Urban Co./a,"1,198",1,1,/,/,5,2,8,3
,Louisville Metropolitan,"1,787",8,2,11,0,8,2,2,0
Louisiana,,,,,,,,,,
,Avoyelles Parish/a,"1,020",0,0,/,/,0,0,0,0
,Bossier Parish,"1,415",1,1,4,0,3,0,2,1
,"Caddo Parish/a,b","1,200",0,0,/,/,0,0,/,/
,Calcasieu Parish,"1,318",0,0,5,5,0,0,0,0
,"East Baton Rouge Parish/a,b","1,514",18,2,/,/,4,0,/,/
,Orleans Parish,"1,950",0,0,19,2,4,0,3,0
,Ouachita Parish Corr. Ctr.,"1,066",1,1,1,1,0,0,0,0
,Rapides Parish,"1,030",0,0,0,0,0,0,0,0
,St. Tammany Parish,"1,014",0,0,0,0,0,0,0,0
Maine,,,,,,,,,,
,Cumberland Co.,478,1,1,0,0,0,0,0,0
Maryland,,,,,,,,,,
,Baltimore City Det. Ctr.,"1,702",7,0,1,0,0,0,0,0
,Baltimore Co.,"1,203",5,0,6,1,0,0,0,0
,Prince George’s Co.,980,3,0,5,2,0,0,3,0
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,276",8,2,1,0,0,0,0,0
,Essex Co./a,"1,475",14,2,/,/,6,0,0,0
,Hampden Co. Corr. Ctr.,"1,444",0,0,9,1,0,0,0,0
,Plymouth Co.,"1,049",33,0,15,0,11,0,9,0
,Suffolk Co. House of Corr.,896,5,0,5,0,11,0,1,0
,Worcester Co.,"1,087",9,0,7,0,7,0,1,0
Michigan,,,,,,,,,,
,Kent Co./b,"1,048",9,0,23,1,14,3,/,/
,Macomb Co.,"1,174",4,2,3,1,1,0,0,0
,Oakland Co.,"1,484",0,0,5,0,3,0,0,0
,Wayne Co.,"1,897",4,0,7,0,1,0,0,0
Minnesota,,,,,,,,,,
,Hennepin Co./a,720,0,0,/,/,0,0,0,0
Mississippi,,,,,,,,,,
,Harrison Co.,621,0,0,0,0,0,0,0,0
Missouri,,,,,,,,,,
,St. Louis City,"1,720",0,0,0,0,0,0,0,0
,St. Louis Co.,"1,268",0,0,0,0,0,0,0,0
Montana,,,,,,,,,,
,Yellowstone Co./a,481,1,0,/,/,4,0,0,0
Nebraska,,,,,,,,,,
,Douglas Co./a,"1,044",11,0,/,/,2,0,0,0
Nevada,,,,,,,,,,
,Clark Co.,"3,435",18,3,5,3,21,0,2,0
,Washoe Co.,"1,045",3,0,11,0,0,0,0,0
New Hampshire,,,,,,,,,,
,Hillsborough Co.,510,0,0,0,0,0,0,0,0
New Jersey,,,,,,,,,,
,Camden Co.,"1,574",4,0,2,0,0,0,1,0
,Essex Co.,"3,058",13,1,0,0,3,0,2,0
,Hudson Co./b,"1,542",4,0,1,0,0,0,/,/
,Monmouth Co.,604,4,0,0,0,2,0,0,0
,Passaic Co.,955,3,0,0,0,0,0,0,0
,"Union Co./a,b",728,4,0,/,/,0,0,/,/
New Mexico,,,,,,,,,,
,Bernalillo Co.,"1,536",4,1,6,3,25,2,6,1
New York,,,,,,,,,,
,Erie Co.,"1,255",3,0,2,0,5,0,1,0
,Monroe Co.,"1,361",1,0,4,0,1,0,4,0
,Nassau Co.,"1,375",0,0,0,0,0,0,0,0
,New York City,"9,755",27,0,22,2,132,7,42,1
,Suffolk Co.,"1,366",0,0,0,0,3,0,3,0
,"Westchester Co./a,b","1,111",3,0,/,/,45,0,/,/
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"1,796",5,0,0,0,6,1,4,0
,Wake Co.,"1,221",1,0,1,1,1,0,0,0
North Dakota,,,,,,,,,,
,Cass Co./c,274,0,0,0,0,0,0,1,0
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,165",7,0,24,4,6,0,9,2
,Franklin Co.,"1,852",19,0,0,0,0,0,0,0
,Hamilton Co.,"1,500",7,0,0,0,0,0,0,0
Oklahoma,,,,,,,,,,
,Oklahoma Co./d,"2,585",12,0,11,0,7,0,/,/
,Tulsa Co.,"1,640",1,1,12,7,4,0,0,0
Oregon,,,,,,,,,,
