Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt19.csv,,,,,,,,,,
"Table 19. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2012",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2012; and Mortality in Correctional Institutions, 2011",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 19. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2012",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"345,730",566,48,304,60,365,26,86,5
Alabama,,,,,,,,,,
,"Jefferson Co./a,b","1,134",2,0,/,/,0,0,/,/
,Mobile Co. Metro Jail/c,"1,276",0,0,0,0,0,0,0,0
Alaska,,,,,,,,,,
,City of Unalaska,2,0,0,0,0,0,0,0,0
,Kodiak City/d,19,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,
,Maricopa Co.,"7,833",43,0,32,0,1,0,0,0
,Pima Co.,"1,926",27,10,0,0,0,0,1,1
,Pinal Co.,"1,097",0,0,1,0,0,0,0,0
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac./a,"1,118",0,0,/,/,4,1,0,0
California,,,,,,,,,,
,Alameda Co.,"3,723",0,0,0,0,0,0,0,0
,Contra Costa Co./a,"1,577",1,0,/,/,0,0,0,0
,Fresno Co./a,"2,419",16,0,/,/,1,0,0,0
,Kern Co.,"2,427",1,0,2,2,4,1,0,0
,"Los Angeles Co./a,b","18,043",16,1,/,/,8,2,/,/
,Monterey Co.,"1,013",0,0,0,0,0,0,0,0
,Orange Co.,"6,437",1,1,3,0,8,1,0,0
,Riverside Co.,"3,894",3,0,1,0,1,0,0,0
,"Sacramento Co., Main Jail/a,b","2,069",1,0,/,/,0,0,/,/
,"Sacramento Co., Rio Cosumnes Corr. Ctr.","1,953",0,0,0,0,0,0,0,0
,San Bernardino Co.,"6,124",0,0,0,0,0,0,1,0
,San Diego Co.,"5,087",6,2,2,2,0,0,3,0
,San Francisco/a,"1,552",4,0,/,/,0,0,0,0
,San Joaquin Co.,"1,324",3,0,0,0,8,1,0,0
,San Mateo Co.,982,0,0,0,0,0,0,0,0
,Santa Barbara Co.,899,0,0,0,0,0,0,0,0
,Santa Clara Co.,"3,562",0,0,0,0,0,0,0,0
,Stanislaus Co.,"1,150",0,0,2,0,0,0,0,0
,Tulare Co.,"1,606",1,1,0,0,0,0,0,0
,Ventura Co.,"1,517",0,0,0,0,2,0,2,0
Colorado,,,,,,,,,,
,Adams Co.,"1,047",2,0,0,0,0,0,0,0
,Arapahoe Co.,"1,182",0,0,4,3,0,0,0,0
,Denver/b,"2,127",3,0,4,0,0,0,/,/
,El Paso Co.,"1,278",1,0,0,0,0,0,0,0
,Jefferson Co./b,"1,232",5,0,2,1,0,0,/,/
District of Columbia,,"1,853",3,0,3,0,10,0,1,0
Florida,,,,,,,,,,
,"Alachua Co./a,b",999,2,0,/,/,0,0,/,/
,Brevard Co.,"1,532",0,0,1,0,0,0,0,0
,Broward Co.,"4,628",2,0,1,0,6,0,0,0
,Escambia Co./b,"1,209",2,0,1,0,0,0,/,/
,Hillsborough Co.,"3,116",0,0,1,0,0,0,0,0
,Jacksonville Co.,"3,655",7,1,0,0,1,0,0,0
,Lee Co.,"1,637",2,0,2,0,0,0,0,0
,Leon Co.,"1,037",0,0,0,0,0,0,0,0
,Manatee Co.,999,3,0,1,0,0,0,0,0
,Marion Co.,"1,613",1,1,2,0,0,0,0,0
,Miami-Dade Co. Corr. & Rehab.,"5,170",0,0,16,0,13,0,1,0
,Orange Co.,"3,070",2,1,2,1,0,0,0,0
,Osceola Co.,885,0,0,6,1,1,0,1,0
,"Palm Beach Co./a,b","2,385",7,1,/,/,0,0,/,/
,"Pasco Co./a,b","1,406",0,0,/,/,0,0,/,/
,Pinellas Co.,"2,988",2,1,1,0,1,0,0,0
,Polk Co.,"2,407",6,0,7,1,0,0,0,0
,St. Lucie Co.,"1,224",5,0,1,0,0,0,0,0
,Volusia Co.,"1,506",0,0,2,0,0,0,0,0
Georgia,,,,,,,,,,
,Bibb Co.,"1,014",2,0,0,0,3,0,0,0
,Chatham County Adult Det. Ctr.,"1,531",1,0,0,0,4,1,3,0
,Clayton Co./a,"1,720",0,0,/,/,0,0,0,0
,"Cobb Co./a,b","2,124",3,0,/,/,0,0,/,/
,Dekalb Co./a,"3,191",1,0,/,/,0,0,1,0
,Fulton Co./a,"2,281",11,0,/,/,10,0,10,0
,Gwinnett Co.,"2,467",0,0,0,0,0,0,0,0
,Muscogee Co. Jail,"1,153",2,2,6,1,0,0,0,0
Idaho,,,,,,,,,,
,Ada Co.,886,0,0,2,1,2,1,0,0
Illinois,,,,,,,,,,
,Cook Co.,"9,452",17,2,7,0,9,0,3,0
,Winnebago Co.,"1,019",0,0,3,0,0,0,1,0
Indiana,,,,,,,,,,
,"Marion Co./a,b","1,187",18,0,/,/,0,0,/,/
Iowa,,,,,,,,,,
,Polk Co.,985,0,0,0,0,0,0,0,0
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,209",4,0,6,0,4,1,2,1
Kentucky,,,,,,,,,,
,Lexington Fayette Urban Co.,"1,185",0,0,1,1,6,2,1,0
,Louisville Metropolitan/b,"2,003",9,3,11,4,3,1,/,/
Louisiana,,,,,,,,,,
,Avoyelles Parish,"1,241",2,0,0,0,2,0,0,0
,"Bossier Parish/a,b","1,221",0,0,/,/,0,0,/,/
,Caddo Parish,"1,160",2,0,0,0,0,0,0,0
,Calcasieu Parish,"1,244",9,7,0,0,0,0,0,0
,East Baton Rouge Parish/e,"1,505",4,0,0,0,0,0,0,0
,Jackson Parish Corr. Ctr.,"1,142",0,0,0,0,0,0,0,0
,Jefferson Parish,873,2,0,3,2,0,0,0,0
,"Lafayette Parish/a,f,g",920,1,1,/,/,1,1,0,0
,Orleans Parish,"2,807",11,0,8,2,4,0,2,0
,Ouachita Parish Corr. Ctr.,"1,053",0,0,0,0,0,0,0,0
,Rapides Parish/d,"1,142",0,0,0,0,0,0,0,0
,St. Tammany Parish,"1,020",2,0,3,1,0,0,0,0
Maine,,,,,,,,,,
,Cumberland Co.,431,0,0,0,0,0,0,0,0
Maryland,,,,,,,,,,
,"Baltimore City Det. Ctr./a,b","3,303",2,0,/,/,1,0,/,/
,Baltimore Co.,"1,324",2,0,3,2,2,1,0,0
,Prince George’s Co.,"1,333",1,0,0,0,2,0,1,0
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,504",5,2,4,2,3,0,0,0
,Hampden Co. Corr. Ctr.,"1,565",0,0,0,0,1,0,0,0
,Plymouth Co.,"1,328",1,1,0,0,0,0,0,0
,Suffolk Co. House of Corr.,"1,127",3,0,14,0,6,0,1,0
,Worcester Co.,"1,450",0,0,0,0,0,0,0,0
Michigan,,,,,,,,,,
,Kent Co./h,"1,167",1,0,/,/,1,0,0,0
,Macomb Co.,"1,159",0,0,0,0,0,0,0,0
,Oakland Co.,"1,610",2,0,2,0,4,0,0,0
,"Wayne Co./a,b","2,176",10,0,/,/,1,0,/,/
Minnesota,,,,,,,,,,
,"Hennepin Co./a,b",714,2,0,/,/,0,0,/,/
Mississippi,,,,,,,,,,
,Harrison Co./a,804,1,0,/,/,0,0,0,0
Missouri,,,,,,,,,,
,St. Louis City,"1,702",0,0,0,0,0,0,0,0
,St. Louis Co.,"1,441",0,0,3,2,0,0,1,0
Montana,,,,,,,,,,
,Yellowstone Co.,436,2,0,0,0,0,0,0,0
Nebraska,,,,,,,,,,
,"Douglas Co./a,b","1,106",35,1,/,/,0,0,/,/
Nevada,,,,,,,,,,
,Clark Co.,"3,212",2,0,2,0,9,0,0,0
,Washoe Co.,"1,141",0,0,0,0,0,0,0,0
New Hampshire,,,,,,,,,,
,"Hillsborough Co./a,b,f",544,0,0,/,/,2,0,/,/
New Jersey,,,,,,,,,,
,Camden Co./b,"1,461",3,0,0,0,1,0,/,/
,Essex Co./b,"3,329",4,1,3,1,0,0,/,/
,Hudson Co./h,"1,809",0,0,/,/,0,0,0,0
,Monmouth Co.,"1,072",1,0,0,0,0,0,0,0
,Passaic Co.,"1,020",0,0,0,0,0,0,0,0
,Union Co.,910,1,0,1,0,0,0,0,0
New Mexico,,,,,,,,,,
,Bernalillo Co./b,"2,671",2,1,9,0,3,0,/,/
New York,,,,,,,,,,
,"Erie Co./a,b","1,272",4,0,/,/,1,0,/,/
,Monroe Co.,"1,399",0,0,2,2,1,1,0,0
,Nassau Co./g,"1,368",0,0,0,0,4,0,0,0
,New York City,"12,083",15,0,5,0,64,1,13,1
,Suffolk Co.,"1,694",0,0,0,0,3,0,1,0
,"Westchester Co./a,b","1,471",5,0,/,/,4,0,/,/
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"2,204",0,0,0,0,0,0,0,0
,"Wake Co./a,b","1,258",0,0,/,/,0,0,/,/
North Dakota,,,,,,,,,,
