Bureau of Justice Statistics,,,,,,,,,
Filename: ssvacf1218stt20.csv,,,,,,,,,
"Table 20. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2016-2018",,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018",,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,
,,,,,,,,,
"Table 20. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2016-2018",,,,,,,,,
,,Total,,2018,,2017,,2016,
Jurisdiction and facility,,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"4,961",641,"1,720",178,"1,610",203,"1,631",260
Alabama,,,,,,,,,
,Jefferson Co.,0,0,0,0,0,0,0,0
,Mobile Co.,0,0,0,0,...,...,...,...
Alaska,,,,,,,,,
,Kodiak City,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,
,Maricopa Co.,249,6,155,2,/,/,94,4
,Pima Co./a,12,3,12,3,0,0,/,/
Arkansas,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,32,5,7,3,16,0,9,2
California,,,,,,,,,
,Alameda Co.,101,7,54,4,40,3,7,0
,Contra Costa Co.,4,0,1,0,1,0,2,0
,Fresno Co.,0,0,0,0,0,0,0,0
,Kern Co.,23,4,6,0,14,4,3,0
,"Los Angeles Co./a,b,c",/,/,/,/,/,/,/,/
,Orange Co.,43,1,17,0,19,0,7,1
,Riverside Co.,7,0,2,0,0,0,5,0
,"Sacramento Co., Main Jail",15,1,2,0,0,0,13,1
,"Sacramento Co., Rio Cosumnes Corr. Ctr.",12,0,9,0,0,0,3,0
,San Bernardino Co.,58,5,39,2,12,2,7,1
,San Diego Co.,9,0,3,0,1,0,5,0
,"San Francisco/b,c",0,0,/,/,/,/,0,0
,San Joaquin Co.,2,0,0,0,2,0,0,0
,San Mateo Co.,0,0,0,0,...,...,...,...
,Santa Barbara Co.,27,0,16,0,7,0,4,0
,Santa Clara Co.,81,7,33,2,24,1,24,4
,Sonoma Co.,40,14,10,4,14,5,16,5
,Stanislaus Co.,9,0,2,0,5,0,2,0
,Tulare Co.,0,0,0,0,0,0,0,0
,Ventura Co.,7,4,3,0,4,4,0,0
Colorado,,,,,,,,,
,Adams Co.,0,0,0,0,...,...,...,...
,Arapahoe Co.,49,14,3,1,22,6,24,7
,Denver,225,35,67,7,116,13,42,15
,El Paso Co.,21,4,8,0,0,0,13,4
,Jefferson Co.,7,1,4,0,0,0,3,1
District of Columbia,,57,1,15,0,15,0,27,1
Florida,,,,,,,,,
,Bay Co.,9,2,7,2,...,...,2,0
,Brevard Co.,14,0,13,0,1,0,0,0
,Broward Co.,82,1,58,1,22,0,2,0
,Escambia Co.,6,2,6,2,0,0,0,0
,Hillsborough Co.,0,0,0,0,0,0,0,0
,Jacksonville Co.,0,0,0,0,0,0,/,0
,Lee Co.,8,0,8,0,0,0,0,0
,Leon Co.,9,2,0,0,2,0,7,2
,Manatee Co.,44,12,12,1,12,3,20,8
,Marion Co.,33,11,15,4,10,3,8,4
,Miami-Dade Co. Corr. and Rehab.,2,0,0,0,1,0,1,0
,Orange Co.,41,11,21,8,9,2,11,1
,Palm Beach Co.,119,16,22,4,34,4,63,8
,Pasco Co.,2,1,2,1,0,0,0,0
,Pinellas Co.,65,9,22,1,21,4,22,4
,Polk Co.,7,2,2,0,3,1,2,1
,"St. Lucie Co./b,d",38,0,38,0,0,0,0,0
,Volusia Co.,3,0,3,0,0,0,0,0
Georgia,,,,,,,,,
,Chatham Co. Adult Det. Ctr.,7,3,0,0,3,2,4,1
,Clayton Co.,0,0,0,0,0,0,0,0
,Cobb Co.,10,0,0,0,9,0,1,0
,Dekalb Co.,0,0,0,0,0,0,0,0
,Fulton Co.,10,0,0,0,0,0,10,0
,Gwinnett Co.,23,0,3,0,16,0,4,0
,Muscogee Co. Jail,4,0,3,0,1,0,0,0
Idaho,,,,,,,,,
,Ada Co.,84,19,56,13,0,0,28,6
Illinois,,,,,,,,,
,Cook Co.,3,0,0,0,/,/,3,0
Indiana,,,,,,,,,
,Marion Co.,9,0,9,0,0,0,0,0
Iowa,,,,,,,,,
,Polk Co.,14,5,4,1,3,1,7,3
Kansas,,,,,,,,,
,Sedgwick Co.,75,14,27,4,32,7,16,3
Kentucky,,,,,,,,,
,Lexington Fayette Urban Co.,24,6,15,2,0,0,9,4
,Louisville Metropolitan,57,3,10,1,16,2,31,0
Louisiana,,,,,,,,,
,Avoyelles Parish,0,0,...,...,...,...,0,0
,Bossier Parish,40,9,7,0,22,5,11,4
,Caddo Parish,2,0,1,0,1,0,0,0
,Calcasieu Parish,73,27,21,6,37,13,15,8
,East Baton Rouge Parish,2,0,0,0,0,0,2,0
,East Carroll Parish,0,0,...,...,...,...,0,0
,Orleans Parish,134,3,42,2,56,0,36,1
,Ouachita Parish Corr. Ctr.,0,0,...,...,...,...,0,0
,Rapides Parish,3,1,0,0,1,0,2,1
,St. Tammany Parish,0,0,0,0,0,0,0,0
Maine,,,,,,,,,
,Cumberland Co.,10,5,...,...,8,3,2,2
,York Co.,/,/,/,/,...,...,...,...
Maryland,,,,,,,,,
,Baltimore City Det. Ctr.,6,0,2,0,2,0,2,0
,Baltimore Co.,38,9,16,4,7,2,15,3
Massachusetts,,,,,,,,,
,Bristol Co.,16,4,14,3,0,0,2,1
,Essex Co.,18,0,1,0,11,0,6,0
,Hampden Co. Corr. Ctr.,28,3,10,1,7,1,11,1
,Plymouth Co.,28,7,11,0,7,1,10,6
,Suffolk Co. House of Corr.,42,12,20,3,8,4,14,5
,Worcester Co.,17,1,7,0,0,0,10,1
Michigan,,,,,,,,,
,Kent Co.,29,1,17,0,12,1,/,/
,Macomb Co.,0,0,0,0,0,0,0,0
,Oakland Co.,20,9,8,4,8,5,4,0
,Wayne Co.,1,0,0,0,1,0,0,0
Minnesota,,,,,,,,,
,Hennepin Co.,13,0,1,0,11,0,1,0
Mississippi,,,,,,,,,
,Harrison Co.,9,0,6,0,3,0,...,...
,Hinds Co.,0,0,...,...,...,...,0,0
Missouri,,,,,,,,,
,St. Louis City,0,0,0,0,0,0,0,0
,St. Louis Co.,7,0,6,0,0,0,1,0
Montana,,,,,,,,,
,Yellowstone Co.,6,2,2,0,3,2,1,0
Nebraska,,,,,,,,,
,Douglas Co.,0,0,0,0,0,0,0,0
Nevada,,,,,,,,,
,Clark Co.,28,7,1,0,15,3,12,4
,Washoe Co.,12,1,4,0,3,1,5,0
New Hampshire,,,,,,,,,
,Hillsborough Co.,2,0,2,0,0,0,0,0
New Jersey,,,,,,,,,
,Camden Co.,1,0,1,0,0,0,0,0
